""	"rowname"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1067.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"NEG.OR.01.002.Water.OralControl"	"NEG.OR.01.004.Water.OralControl"	"NEG.OR.01.005.Water.OralControl"	"NEG.OR.01.006.Water.OralControl"	"NEG.OR.01.007.Water.OralControl"	"NEG.OR.01.010.Water.OralControl"	"NEG.OR.01.011.Water.OralControl"	"NEG.OR.01.013.Water.OralControl"	"NEG.OR.03.001.Water.OralControl"	"NEG.OR.CON1062.Water.OralControl"	"NEG.OR.CON1063.Water.OralControl"	"NEG.OR.CON1067.Water.OralControl"	"NEG.OR.CON1068.Water.OralControl"	"NEG.OR.CON1069.Water.OralControl"	"NEG.OR.CON1070.Water.OralControl"	"NEG.OR.CON1071.Water.OralControl"	"NEG.OR.CON1072.Water.OralControl"	"NEG.OR.CON1073.Water.OralControl"	"NEG.OR.CON1074.Water.OralControl"	"NEG.OR.CON1075.Water.OralControl"	"NEG.OR.CON1076.Water.OralControl"	"OR.CON1062.OralRinse"	"OR.CON1063.OralRinse"	"OR.CON1064a.OralRinse"	"OR.CON1065.OralRinse"	"OR.CON1066.OralRinse"	"OR.CON1067.OralRinse"	"OR.CON1068.OralRinse"	"OR.CON1069.OralRinse"	"OR.CON1069a.OralRinse"	"OR.CON1070.OralRinse"	"OR.CON1071.OralRinse"	"OR.CON1072.OralRinse"	"OR.CON1073.OralRinse"	"OR.CON1074.OralRinse"	"OR.CON1075.OralRinse"	"OR.CON1076.OralRinse"	"OR.POST.01.002.OralRinse"	"OR.POST.01.004.OralRinse"	"OR.POST.01.005.OralRinse"	"OR.POST.01.006.OralRinse"	"OR.POST.01.007.OralRinse"	"OR.POST.01.010.OralRinse"	"OR.POST.01.011.OralRinse"	"OR.POST.01.013.OralRinse"	"OR.POST.02.001.OralRinse"	"OR.POST.02.002.OralRinse"	"OR.POST.02.003.OralRinse"	"OR.POST.02.004.OralRinse"	"OR.POST.02.005.OralRinse"	"OR.POST.02.006.OralRinse"	"OR.POST.02.007.OralRinse"	"OR.POST.02.008.OralRinse"	"OR.POST.02.009.OralRinse"	"OR.POST.02.010.OralRinse"	"OR.POST.02.011.OralRinse"	"OR.POST.02.012.OralRinse"	"OR.POST.02.013.OralRinse"	"OR.POST.03.001.OralRinse"	"OR.POST.03.002.OralRinse"	"POST.01.001.BAL"	"POST.01.003a.BAL"	"POST.01.004a.BAL"	"POST.01.005.BAL"	"POST.01.006.BAL"	"POST.01.007b.BAL"	"POST.01.009.BAL"	"POST.01.010.BAL"	"POST.01.011.BAL"	"POST.01.013a.BAL"	"POST.02.001.BAL"	"POST.02.002.BAL"	"POST.02.003.BAL"	"POST.02.004.BAL"	"POST.02.005.BAL"	"POST.02.006.BAL"	"POST.02.007.BAL"	"POST.02.008.BAL"	"POST.02.009.BAL"	"POST.02.010.BAL"	"POST.02.011.BAL"	"POST.02.012.BAL"	"POST.02.013.BAL"	"POST.03.001.BAL"	"POST.03.002.BAL"	"POST.04.001.BAL"	"POST.04.002.BAL"	"POST.04.003.BAL"	"POST.04.004.BAL"	"POST.04.005.BAL"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"Deinococci"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00180629623258214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78136264518713e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175146482316739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"2"	"Acidobacteria-6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0663598830208154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"3"	"Actinobacteria"	0.0231605351170569	0.0072202166064982	0.0533333333333333	0.0831104442559854	0	0.0179175118323191	0	0.11026453214622	0.0039288361749444	0.0975609756097561	0.0252845599096359	0	0	0.0185755438561637	0.0308698296836983	0.0669440591770689	0.0217773094485423	0.00817354965585054	0.00122959982114912	0.0216773650426181	0.0167908373179139	0	0.000367174591518267	0	0	0.00710811821922933	0.00173557937723328	0.0105092966855295	0.00780487804878049	0.0089878022683501	0	0.00641744548286604	0	0.00241502683363148	0.0662386227333663	0.0658482326769383	0.0401061150274975	0.092367610300529	0.0784157715599169	0.392600261551874	0.128114169881645	0.0513762203020874	0.112640396476957	0.0815177513122989	0.119694107472062	0.0593551914435579	0.0801914451893057	0.0708568642587251	0.0206727265753845	0.000355082112738571	0.271733941547764	0.0219766041630827	0.0328688081193169	0.0333524626135098	0.00478468899521531	0.0370914667263027	0	0.00640516948191815	0.02065546681355	0.00143606393606394	0.000520712797963434	0.0980481162051748	0.0899308224442736	0.0867027841111134	0.0714204090961033	0.0562890062409986	0.0253964670692477	0.000641889723345529	0.0896961654866533	0.067630408410837	0.125626037275838	0.0979381443298969	0.0738918704034983	0.102283522538356	0.199676400639401	0.120377217398529	0.113528956700905	0.08439095084343	0.119098453702233	0.141538873038516	0.109827508077283	0.0603052645811958	0.109989113514503	0.153943991631106	0.0587872568347331	0.0537437603993344	0.0716973080986007	0.0985067596212728	0.0499421476569801	0.156197340999911	0.147515025011696	0.170959226980822	0.0939164795491569	0.060654468477121	0.0887705541576453	0.0685456939488197	0.123410316410622	0.0962226640159046	0.092468037269211	0.0954399879632018	0.141459297389871	0.103026081656863	0.108069488058541	0.107913956978489	0.0977962622162281	0.0902371640773564	0.0859139034398179	0.0658278320073727	0.240930257030859	0.138093832989082	0.0426171164781885	0.0868852138938243	0.0788506953555497	0.127463660405768	0.120095591382508	0.0270609353587215	0.150402951742888	0.0595516598063313	0.0666062915434957	0.0760051302068812	0.233139497457245	0.0429531730659679	0.101935304453349	0.0996772451555377	0.145385183019367	0.0720134161980862	0.0286956770520413	0.0629624149156555	0.108245641589446	0.129426168254019	0.14418595839806	0.0598845202089634	0.162029724519619	0.0762392343290922	0.158769315782203	0.203409933283914	0.252524786008991	0	0.0790968183373247	0.00547932151705737	0.00986508051646598	0.0235547748323219	0.0168097281831187	0.0528520678329647	0.0048661800486618	0.00648845055800675	0.0470688190314359	NA	NA	NA	NA	NA	NA	NA
"4"	"Coriobacteriia"	0	0	0	0	0.000125423303649818	0	0	0	0	0.0110864745011086	0	0	0	0	0	0.000246571120357528	0	0.00141347099311701	0	0	0	0	0	0.000125572926477052	0	0	0	0.00115486776764061	0	0	0	0	0	0	0.0014393565229662	0.0151108181593474	0.000447113879905212	0.00377841074231239	0.0168412677363745	0.00163469921534438	0.00369450075197803	0.00156252086699876	0.0134268860936785	0.0256956595360388	0.0156132644468216	0.0140272343624528	0.00729013138084597	0	0	0	0	0	0	0.00347702798501165	0	0	0	0	0	0	0	0	0.00637408372546446	0.00617064446629155	0.00245686207290595	0	0	0	0.00183591300317195	0.00460356465208871	0.000396551470912215	0.00162182549660548	0.00315267563329579	0.00188809195839073	0.000656295891977595	0.00622325620040713	0.00529270739983302	0.00135865221700074	0.00620518883183644	0.00928584165477889	0.0089276781563197	0.0178402411574284	0.0024723513791244	0.00198685963288253	0.00138179985056757	0.000919103082164646	0.00465735888722947	0.00114937114324744	0.000372702594455075	0.00579120040166996	0.00236492912924338	0.00647765864689793	0.00250407255756615	0.00655644521105089	0.00288862053740045	0.000997080319829017	8.47831247668464e-05	0.0102638406847053	0.00676409504029876	0.00537357063021236	0.00103541512294941	0.00343910017467582	0.00752499207743943	0.00368851092212773	0.00768683936033803	0.003559255139751	0.00304645352364426	0.00359231883240234	0.0006840125226908	0.001032753024491	0.00465500122500032	0.00121053556436339	0.00187427371893391	0.0144972298901608	0.0263054644029105	0.00501843309077573	0.0138686603877399	0.00713672302999793	0.0165405054423047	0.0038290674547854	0	0	0.0411963240592094	0.0154093460760797	0.0224301407627083	0.0264378021110782	0.00105856435785197	0.0102101213376739	0.0110727187058269	0.0240090312117406	0.0115560944189747	0.0111767940610393	0.00604440022386668	0.00171494142718434	0.00515087525409011	0.00176262251873816	0	0	0	0	0	0	0	0.00160868690931028	0	0	0	NA	NA	NA	NA	NA	NA	NA
"5"	"[Saprospirae]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171076642335766	0	0	0.0399459193706981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00401009281787871	0	0	NA	NA	NA	NA	NA	NA	NA
"6"	"Bacteroidia"	0.0324414715719064	0.00681909346169274	0	0.00821971426707548	0	0.000676132521974307	0	0	0.00385470719051149	0.0266075388026608	0.000868885220262403	0.025134328358209	0	0.00178802026422966	0.0697232360097324	0.000862998921251348	0.000526870389884088	0.00719026548672566	0.000782472613458529	0.0182047774387036	0	0.00130587644399799	0.000367174591518267	0	0	0	0	0.0168610694075528	0	0.00385191525786433	0	0.00741433021806854	0	0	0.252705849149792	0.296943231441048	0.119483732506669	0.184560832412951	0.208946647217434	0.239497057541412	0.155479631203819	0.247091975053086	0.353852991084655	0.228029576113337	0.308316453103307	0.356712057270755	0.218593004643497	0.000325031487425344	0.0465999309630652	0.000221926320461607	0.000583461518060786	0.0196972303457767	0.00154555524072023	0.00719035884279107	0.000299043062200957	0.0027475160538002	0.000723589001447178	0.000566829157691872	0.0100523271825943	0.000624375624375624	0.000462855820411942	0.0197911938266001	0.155921336307906	0.152780973497605	0.0569077819677751	0.0304848775804129	0.0113437552909306	0.000706078695680082	0.132049406054877	0.246741733801985	0.0553336172837693	0.124503394518481	0.221808122970914	0.033326604284425	0.0901594604078132	0.074787088197416	0.0787548733503374	0.136882878850847	0.224704297754957	0.220644614835949	0.284685236080296	0.298042584329539	0.101646199395647	0.236534134097973	0.173881732335917	0.165589097535853	0.157012837658519	0.128644778369212	0.0541308798006319	0.132551085678128	0.125094468636413	0.196623017784696	0.361037731695505	0.257176318394308	0.19663366652658	0.145435375837261	0.130972971139824	0.135781918657546	0.273136063106149	0.194270698994068	0.0521731449630244	0.30261360730047	0.159211777246406	0.158946139736535	0.277284293468512	0.293552438018012	0.362436640942509	0.277530139743083	0.0312014943042803	0.0771824811364499	0.286804812317056	0.109924439151063	0.126944558983394	0.0510588189873173	0.1793051790555	0.0482155610029145	0.276531702107001	0.339246054073262	0.35849153324334	0.288797189538839	0.039182026908139	0.0113554365576697	0.226889481601335	0.183191630979442	0.304846636871197	0.058868501529052	0.0535576345378079	0.400044391831903	0.384262604052144	0.378372791884629	0.169211533361118	0.371267528182568	0.284323114234189	0.149338612662825	0.0574490339642004	0.0818878181368915	0.0277418560256173	0	0.00472117687307561	0.00662283209453021	0	0.0461513893324816	0	0.11847308800858	0.000540686672073533	0	0	NA	NA	NA	NA	NA	NA	NA
"7"	"Flavobacteriia"	0.0193979933110368	0	0.0182716049382716	0	0.00194406120657218	0	0	0	0	0	0	0	0	0	0	0	0	0.000307276302851524	0	0.010207302956961	0	0	0	0	0	0	0	0	0.00517073170731707	0	0	0	0	0	0.00571509207648345	0.0025212161160089	0.0429825476548877	0.00318258443294774	0.000243115413517217	0.0174231691368788	0.00269731249591316	0.00102832569879405	0.00012120559161796	0	0.000489337005257528	0.00582617164140853	0.00171159606332905	0.00682566123593223	0.0019560464848694	0	0	0	0	0	0	0	0	0	0	0	0.000115713955102985	0	0.0254588402917081	0.02771560650114	0.0166266712375728	0	0	0.00375505488157135	0.00664382378870641	0.00258172882515786	0.0174702953574104	0.00658788031179281	0.00216988007685682	0.00492210136322614	0.00233927248625677	0.00163682439449961	0.00167742824973	0.0014865253668361	0.00056464277521924	0.00158701854493581	0.00231872458377717	0.00133622849507266	0.00178049996439	0.000210727536820874	0.0112164339661707	0.00574439426352904	0.000431911494569884	0.00219511046210373	0.0245316185305505	0.00153377397811449	0.000987100853945062	0.00113866648617874	6.05380178752256e-05	0.00194537275694111	0.00478776884652009	0.0021849894090033	0.000101739749720216	0.0016915456414058	0.000393778302815515	0.0244981085031382	0.00265969192719707	0.00223106182217893	0.000547376912218029	0.00273470068367517	0.00123574081333006	0.00277708011912023	0.00174176250709426	0.0493520660535274	0.0010260187840362	0.00345656114319437	0.000270789544944617	0.0215748677197024	0.0370169059489448	0.00181456672393491	0.000124839492081609	0.00100368661815515	0.000614946434928958	0	0.00223843617039455	0.0136805516831168	0.006609016586915	0	0.000139048654388249	0.00118050410036797	0.000877156342675745	0.00162770050310743	0.00635138614711184	0	0.000801005182974713	0.000333900434070564	0.0011177206077369	0.000756117679406104	0.00222622971208258	0.00643103035194129	0.00738094768210614	0.00256980479367433	0.00566537348358889	0	0	0	0	0.00447141488342383	0	0.000268114484885046	0	0	0	NA	NA	NA	NA	NA	NA	NA
"8"	"4C0d-2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235705596107056	0	0	0.0138888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024127082167191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"9"	"Chloroplast"	0	0	0	0	0	0.00270453008789723	0	0	0	0	0	0	0	0	0	0.00117121282169826	0	0	0.00447127207690588	0	0	0	0.00764947065663056	0	0	0	0	0	0	0.00171196233682859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164820361653909	0	0	0.000887705281846427	0	0.00447273352829864	0	0.000978969044323667	0	0	0	0	0	0	0	0	0	0.000146422072081494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019811996796358	0	0	0	0	0	0.00860854291725376	0	0	0.000153785691095808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"10"	"Bacilli"	0.166053511705686	0.0673886883273165	0.103774250440917	0.0782829930197664	0.00369998745766963	0.0514705882352941	0	0.0184059583939731	0.0323202372127502	0.0875831485587583	0.0586497523677122	0.0128358208955224	1	0.00149001688685805	0.105307177615572	0.0415472337802435	0.0290656831752722	0.02218534906588	0.00212385423653029	0.414500683994528	0.0259090403647281	0.0152687091913611	0.00336576708891745	0.000690651095623784	0.000706963591375044	0.00155879785509415	0.0107197549770291	0.0182469107287216	0.00878048780487805	0.0016049646907768	0	0.0664797507788162	0.0303527481542248	0.0359570661896243	0.375926056586467	0.170107934415424	0.185209472852736	0.337324885194443	0.2523759006321	0.0755639712292938	0.271562152618845	0.232762189665994	0.155749185229079	0.474713551955749	0.171393131074038	0.200328042508842	0.120271319672261	0.0587088124162028	0.112913742185403	0.0192188193519751	0.0186707685779452	0.08425081713401	0.0060534246928209	0.0253519224926577	0.00707735247208931	0.0055269799686911	0.0138687891944042	0.0128670218796055	0.0294684659873313	0.0387737262737263	0.01162925248785	0.0263277349069451	0.352205620442061	0.34084966636685	0.248942977945378	0.0342054728756601	0.125966476663469	0.00231080300404391	0.485344506348442	0.197603346915923	0.30024086830085	0.339822730701534	0.300244042492105	0.344986462736902	0.242809986094325	0.328104357941091	0.365893824153435	0.24104088743966	0.323657944112129	0.318277460770328	0.282554834305354	0.214210153745814	0.435749386999298	0.255183521106621	0.295034522491381	0.413002139291657	0.434674687384542	0.242969522822554	0.391827244003382	0.267502562021555	0.489946480625575	0.313423922347723	0.240924800774887	0.132701863049678	0.253874102958309	0.491536744079537	0.399317213235211	0.144980961687502	0.27005570057606	0.262558034562806	0.463075918992261	0.250907389167923	0.30855924634842	0.446549941637485	0.295454998438715	0.248982813677299	0.252483805522757	0.127273411198255	0.480755570755834	0.330038359398052	0.287733233614009	0.413378370462932	0.193743674326199	0.598073470648418	0.290412327008132	0.448261885000676	0.204194581998252	0.26244484586455	0.0959793585427951	0.149091990557445	0.244855481406776	0.111237704606737	0.148339632658737	0.346553304783553	0.114684711025716	0.250468580447864	0.30475209567133	0.192142645753181	0.120135071462227	0.135786176522029	0.367919524116243	0.228443772339841	0.16224115415708	0.19230041738648	0.407254642695033	0.395997034840623	0.509452552497075	0.212557226945716	0.00437906260691071	0.0532208881265485	0.00623821267952996	0.144282976684765	0.00268240343347639	0.269890743347409	0.00351446336847797	0.00506099143524526	0.0241291418861512	NA	NA	NA	NA	NA	NA	NA
