""	"rowname"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1067.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"NEG.OR.01.002.Water.OralControl"	"NEG.OR.01.004.Water.OralControl"	"NEG.OR.01.005.Water.OralControl"	"NEG.OR.01.006.Water.OralControl"	"NEG.OR.01.007.Water.OralControl"	"NEG.OR.01.010.Water.OralControl"	"NEG.OR.01.011.Water.OralControl"	"NEG.OR.01.013.Water.OralControl"	"NEG.OR.03.001.Water.OralControl"	"NEG.OR.CON1062.Water.OralControl"	"NEG.OR.CON1063.Water.OralControl"	"NEG.OR.CON1067.Water.OralControl"	"NEG.OR.CON1068.Water.OralControl"	"NEG.OR.CON1069.Water.OralControl"	"NEG.OR.CON1070.Water.OralControl"	"NEG.OR.CON1071.Water.OralControl"	"NEG.OR.CON1072.Water.OralControl"	"NEG.OR.CON1073.Water.OralControl"	"NEG.OR.CON1074.Water.OralControl"	"NEG.OR.CON1075.Water.OralControl"	"NEG.OR.CON1076.Water.OralControl"	"OR.CON1062.OralRinse"	"OR.CON1063.OralRinse"	"OR.CON1064a.OralRinse"	"OR.CON1065.OralRinse"	"OR.CON1066.OralRinse"	"OR.CON1067.OralRinse"	"OR.CON1068.OralRinse"	"OR.CON1069.OralRinse"	"OR.CON1069a.OralRinse"	"OR.CON1070.OralRinse"	"OR.CON1071.OralRinse"	"OR.CON1072.OralRinse"	"OR.CON1073.OralRinse"	"OR.CON1074.OralRinse"	"OR.CON1075.OralRinse"	"OR.CON1076.OralRinse"	"OR.POST.01.002.OralRinse"	"OR.POST.01.004.OralRinse"	"OR.POST.01.005.OralRinse"	"OR.POST.01.006.OralRinse"	"OR.POST.01.007.OralRinse"	"OR.POST.01.010.OralRinse"	"OR.POST.01.011.OralRinse"	"OR.POST.01.013.OralRinse"	"OR.POST.02.001.OralRinse"	"OR.POST.02.002.OralRinse"	"OR.POST.02.003.OralRinse"	"OR.POST.02.004.OralRinse"	"OR.POST.02.005.OralRinse"	"OR.POST.02.006.OralRinse"	"OR.POST.02.007.OralRinse"	"OR.POST.02.008.OralRinse"	"OR.POST.02.009.OralRinse"	"OR.POST.02.010.OralRinse"	"OR.POST.02.011.OralRinse"	"OR.POST.02.012.OralRinse"	"OR.POST.02.013.OralRinse"	"OR.POST.03.001.OralRinse"	"OR.POST.03.002.OralRinse"	"POST.01.001.BAL"	"POST.01.003a.BAL"	"POST.01.004a.BAL"	"POST.01.005.BAL"	"POST.01.006.BAL"	"POST.01.007b.BAL"	"POST.01.009.BAL"	"POST.01.010.BAL"	"POST.01.011.BAL"	"POST.01.013a.BAL"	"POST.02.001.BAL"	"POST.02.002.BAL"	"POST.02.003.BAL"	"POST.02.004.BAL"	"POST.02.005.BAL"	"POST.02.006.BAL"	"POST.02.007.BAL"	"POST.02.008.BAL"	"POST.02.009.BAL"	"POST.02.010.BAL"	"POST.02.011.BAL"	"POST.02.012.BAL"	"POST.02.013.BAL"	"POST.03.001.BAL"	"POST.03.002.BAL"	"POST.04.001.BAL"	"POST.04.002.BAL"	"POST.04.003.BAL"	"POST.04.004.BAL"	"POST.04.005.BAL"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"Deinococcus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00180629623258214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78136264518713e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175146482316739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"2"	"Actinomyces"	0.0190635451505017	0.0072202166064982	0.00973544973544974	0.00469697958118599	0	0.00185936443542934	0	0	0.00126019273535953	0.0975609756097561	0	0	0	0	0.0219738442822384	0.000770534751117275	0.00395152792413066	0.00577679449360865	0.00122959982114912	0.0046301168052194	0	0	0.000367174591518267	0	0	0.00710811821922933	0	0.00923894214112484	0	0.006526856409159	0	0	0	0.000536672629695885	0.0216891272137162	0.0486611188926423	0.0139946644410331	0.0452246701156775	0.0558502409052734	0.392600261551874	0.0458052703851435	0.0361516580082533	0.0923182589490128	0.0727832025737992	0.0809113048228145	0.0492576329682721	0.0608725970300639	0	0.0157250795842442	0	0.000583461518060786	0.00941854464132118	0	0.00131654457684907	0.000498405103668262	0	0	0.000963609568076182	0.00922610851005233	0	0	0	0.0277835061209951	0.0294308364883804	0.0698205919323506	0.0338454152664426	0.0204864834358598	0.000641889723345529	0.050633026438965	0.0228467448443186	0.0453023337788418	0.0309781242142318	0.0259557410720201	0.0617311072056239	0.0159005549274176	0.0550953429437913	0.0535398331763138	0.0347442004198502	0.0711332262864739	0.0703058131241084	0.0615285926989601	0.0482792081255419	0.0736007813851272	0.0742739307459002	0.0273029247346674	0.0395452024403772	0.0520739557368774	0.0198690470582693	0.0101352854790619	0.0613509591245796	0.0150687114735051	0.0811439218699611	0.0789195614846123	0.037770612620912	0.0529793221583262	0.0311098601225121	0.0120900735917523	0.0742258314519662	0.0546081588323838	0.0338803628234889	0.0294528984262672	0.0826853277756314	0.0566275820345136	0.0707420376855094	0.0611758140276514	0.0584191453482114	0.0339937244362104	0.0610318042468356	0.0560890268606456	0.0597942924587953	0.0393676419388531	0.0369994337817522	0.0232784795891592	0.0630658456073973	0.0595662719360822	0.00154413325870023	0.114541864905978	0.0541176818975984	0.0627787365651112	0.0559489953344858	0.117503165032294	0.00729178534806882	0.0936429483371045	0.0618383211724666	0.13593138688164	0.0167455854789385	0.0206849197493777	0.0383989345960343	0.0673472593057955	0.0912979186872943	0.0414124957375062	0.0422738520758867	0.023493563833095	0.0535666998726404	0.0549426693769612	0.0687258051231365	0.0644898084857442	0	0	0.00171526586620926	0	0.0225167678058128	0	0.0207118439573698	0.000720915562764711	0	0	NA	NA	NA	NA	NA	NA	NA
"3"	"Brevibacterium"	0	0	0.00641975308641975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116553555621127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"4"	"Corynebacterium"	0	0	0.0231393298059965	0.018657446669711	0	0.00836713995943205	0	0.10093313928602	0.00266864343958488	0	0.0138152750021722	0	0	0.0069534121386709	0.00615875912408759	0.0186777623670828	0	0.00104473942969518	0	0.0046301168052194	0	0	0	0	0	0	0.00173557937723328	0	0.00497560975609756	0.0024609458591911	0	0.00404984423676012	0	0	0.0289988005362309	0	0	0.00123524966575597	0.000773549043009327	0	0.000850062119924148	0	8.08037277453066e-05	0.000126996669865101	0.00592894371486447	0	0	0.0181611343598911	0.000767077052889963	0.000355082112738571	0.00334164323980268	0.00675210734560468	0.000231833286108034	0	0.00428628389154705	0	0	0.00498809658768847	0.0114293583034977	0.00143606393606394	0	0.00853381752156151	0.000749892202995819	0.00135963352647102	0	0.0224435909745559	0.00490998363338789	0	0.0110154780190317	0.000279946499113503	0.00425191299366986	0.0021561478501383	0.00128646834073191	0.00152591079656106	0.000506842372022301	0.0014623405757966	0.00129445376349028	0.000415587736964931	0.00151159576282651	0.00276836661911555	0.000623819304264923	0.000357918346894462	0.003281207077233	0.00054939679242585	0.00793072096644972	0.00340702004595515	0.000827396718513392	0	0.00037826531974545	0.000770325944165125	0.00102308890591181	0.00108690891862516	4.40276493638005e-05	0.000245009163342709	0.00274498747200485	0.00341583497128027	0	0.000781750176904674	0.000171484099613208	0.00181626687301178	0.000883292521947366	0.00129510417970387	0.000149808418080724	0.00281474070368518	0.00308935203332514	0.00128448925406336	0	0.00276476894430965	0.00670858435715977	0.0415208869030055	0	0	0	0.00100380286855974	8.91710657725781e-05	0.0159431758960798	0.000291290416545296	0	0.000256309485159681	0.00176583207866317	0.11334034289638	0.00398769511222513	0	0.00454619664184259	0	0.00680674755844925	0.00208851886819443	0.000517904705534182	0.00351814041149678	0.00076320099216129	0.000644110180729739	0	0.127977115851004	0.0107688233736429	0.000197351542302303	0.000642451198418582	0.00010776525648131	0	0.00581594252480328	0.00247760625119116	0	0	0.00107296137339056	0.002178430189691	0.00351446336847797	0.00648845055800675	0.00832625318606627	NA	NA	NA	NA	NA	NA	NA
"5"	"Arthrobacter"	0	0	0	0	0	0	0	0.00436606454926804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265687158542407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"6"	"Kocuria"	0	0	0.0140388007054674	0.0482092765346728	0	0	0	0.00496532831093228	0	0	0.00781996698236163	0	0	0.0116221317174928	0	0.0474957620588689	0.0178257815244117	0	0	0.0029464379669578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037259489992101	0	0.00331521018432569	0	0.000261557575361276	0	0	0	0	0	0	0.0115386178035997	0	0	0.00212167824749377	0.00154825391364184	0.00445635094407666	0	0	0.0019488195265327	0	0	0	0	0	0.0895142986836133	0	0.00328403790239923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000605088000841862	0.00815664123424525	0	0	0	0	0	0.00368661815514679	0	0	0	0	0	0.00406365120960085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0387425658453696	NA	NA	NA	NA	NA	NA	NA
"7"	"Rothia"	0.0020066889632107	0	0	0.00665405440668015	0	0	0	0	0	0	0	0	0	0	0.00273722627737226	0	0	0.00135201573254671	0	0.00947069346522151	0	0	0	0	0	0	0	0.00127035454440467	0	0	0	0.00236760124610592	0	0	0.00701333521484513	0.0162148801186455	0.0257388556865434	0.0459076905190955	0.016222428501967	0	0.0810011116196953	0.015104368380988	0.014881353193094	0.00594062200146752	0.00476819081867219	0.0100975584752858	0.0123615271240432	0	0.00268476968511487	0	0	0.00425769826251505	0	0	0	0.0041212740807003	0	0	0	0	0	0	0.0323765958643445	0.027422762356977	0.000571363272768826	0	0	0	0.0260027084261136	0.0443481912345641	0.0724734530820862	0.0646844355041488	0.0448717948717949	0.0351256353013822	0.18232679636633	0.063711520086411	0.0585950963946782	0.0475474995471159	0.0440774266405519	0.0675151569186876	0.043696776737425	0.011071607530602	0.0303346322504502	0.0781723901770864	0.0183009713107744	0.0103082164646225	0.0143883768974184	0.0784492910641104	0.0390725824395888	0.0865585000653401	0.122451917391997	0.0883501678139594	0.0118599480473737	0.0225947450434646	0.0293011453407029	0.0336669656317386	0.111320242818869	0.0209657310375038	0.0349700537951972	0.033273149342275	0.106402398629915	0.0179083523336362	0.0477543141943476	0.0265065866266467	0.0299168864646518	0.0289691794338201	0.0484953650851637	0.0020312588162275	0.177527557812212	0.0162078995068077	0.0032494745393354	0.0484799968760373	0.0555722157663905	0.0608458969557748	0.057105150520759	0.00216178656218032	0.0353594200084151	0.00300571530101572	0.00357124549322489	0.0159296641201509	0	0.0267365462762523	0.00803954038099331	0.0292111972069775	0.00859056291160213	0.0457235868600178	0.00400537865133179	0.0175347736016573	0.00218313177320559	0.0357750465075605	0.0833175463190998	0.00534781413252681	0.00996206703563211	0.011903711082809	0.102228098912593	0.134041676962359	0.187927212266765	0	0	0.00128644939965695	0.00986508051646598	0	0	0.0295261076479657	0	0	0	NA	NA	NA	NA	NA	NA	NA
"8"	"Mycobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0277089343030106	0	0	0	0	0.0281806238891322	0.0320359180366607	0	0.0286891792594486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000136807412474349	0	0	0	0	0	0.0732808758125214	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"9"	"Xylanimicrobium"	0.00209030100334448	0	0	0.0011742448952965	0	0.00329614604462475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167908373179139	0	0	0	0	0	0	0	0.00282926829268293	0	0	0	0	0.0018783542039356	0	0	0	0	0.000198912611059541	0	0	0	0	0	0	0	0	0	0.00149580025313543	0	0	0	0	0	0	0.0023321938596211	0	0.000453463326153497	0	0	0.000520712797963434	0	0.000356198796423014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000505838216077225	0	0	0	0	0	0	0	0	0	0	0.000536446151535309	0	0	0	0	0.00160303837427247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157367668097282	0	0.000630801117419122	0	0	NA	NA	NA	NA	NA	NA	NA
"10"	"Alloscardovia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00097223366565049	0	0	0	0	0	0	0.000161607455490613	0.00165095670824632	0.00113799303548262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000155525832840835	0	0	0.000209810287329667	0	0	0	0	0	0.000199977649556814	0.000133737517831669	0.000317794739908546	0	0	0	0	0	0	0	0	0	0	0.000115459189157984	0	0	0	0	0	0.000128045287596455	0.00134646774511112	0	0	5.98577562048006e-05	0	0.000867100216775054	0.000279038248171303	0.000107638764306986	0.000737150424350753	0	0	0	0	0	0	0	0	0	6.47312036767324e-05	0	0	0	0	0	0.000252815735251362	0.00116794554610873	0	0	0	0	0.0264017590702057	0.000969901260871639	0.000511499261167734	0.00222711025570525	0.000460170387413718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
