"","FL.CON1062.BAL.FlushControl","FL.CON1063.BAL.FlushControl","FL.CON1064.BAL.FlushControl","FL.CON1065.BAL.FlushControl","FL.CON1066.BAL.FlushControl","FL.CON1067.BAL.FlushControl","FL.CON1068.BAL.FlushControl","FL.CON1069.BAL.FlushControl","FL.CON1070.BAL.FlushControl","FL.CON1071.BAL.FlushControl","FL.CON1072.BAL.FlushControl","FL.CON1073.BAL.FlushControl","FL.CON1074.BAL.FlushControl","FL.CON1076.BAL.FlushControl","FL.POST.01.004.BAL.FlushControl","FL.POST.01.005.BAL.FlushControl","FL.POST.01.006.BAL.FlushControl","FL.POST.01.007.BAL.FlushControl","FL.POST.01.010.BAL.FlushControl","FL.POST.01.011.BAL.FlushControl","FL.POST.01.013.BAL.FlushControl","FL.POST.02.002.BAL.FlushControl","FL.POST.02.003.BAL.FlushControl","FL.POST.02.004.BAL.FlushControl","FL.POST.02.005.BAL.FlushControl","FL.POST.02.006.BAL.FlushControl","FL.POST.02.007.BAL.FlushControl","FL.POST.02.008.BAL.FlushControl","FL.POST.02.009.BAL.FlushControl","FL.POST.02.010.BAL.FlushControl","FL.POST.02.011.BAL.FlushControl","FL.POST.02.012.BAL.FlushControl","FL.POST.02.013.BAL.FlushControl","FL.POST.03.002.BAL.FlushControl","ILDCON1062.BAL","ILDCON1063.BAL","ILDCON1064.BAL","ILDCON1065.BAL","ILDCON1066.BAL","ILDCON1067.BAL","ILDCON1068.BAL","ILDCON1070.BAL","ILDCON1071.BAL","ILDCON1072.BAL","ILDCON1073.BAL","ILDCON1074.BAL","ILDCON1076.BAL","NEG.OR.01.002.Water.OralControl","NEG.OR.01.004.Water.OralControl","NEG.OR.01.005.Water.OralControl","NEG.OR.01.006.Water.OralControl","NEG.OR.01.007.Water.OralControl","NEG.OR.01.010.Water.OralControl","NEG.OR.01.011.Water.OralControl","NEG.OR.01.013.Water.OralControl","NEG.OR.03.001.Water.OralControl","NEG.OR.CON1062.Water.OralControl","NEG.OR.CON1063.Water.OralControl","NEG.OR.CON1067.Water.OralControl","NEG.OR.CON1068.Water.OralControl","NEG.OR.CON1069.Water.OralControl","NEG.OR.CON1070.Water.OralControl","NEG.OR.CON1071.Water.OralControl","NEG.OR.CON1072.Water.OralControl","NEG.OR.CON1073.Water.OralControl","NEG.OR.CON1074.Water.OralControl","NEG.OR.CON1075.Water.OralControl","NEG.OR.CON1076.Water.OralControl","OR.CON1062.OralRinse","OR.CON1063.OralRinse","OR.CON1064a.OralRinse","OR.CON1065.OralRinse","OR.CON1066.OralRinse","OR.CON1067.OralRinse","OR.CON1068.OralRinse","OR.CON1069.OralRinse","OR.CON1069a.OralRinse","OR.CON1070.OralRinse","OR.CON1071.OralRinse","OR.CON1072.OralRinse","OR.CON1073.OralRinse","OR.CON1074.OralRinse","OR.CON1075.OralRinse","OR.CON1076.OralRinse","OR.POST.01.002.OralRinse","OR.POST.01.004.OralRinse","OR.POST.01.005.OralRinse","OR.POST.01.006.OralRinse","OR.POST.01.007.OralRinse","OR.POST.01.010.OralRinse","OR.POST.01.011.OralRinse","OR.POST.01.013.OralRinse","OR.POST.02.001.OralRinse","OR.POST.02.002.OralRinse","OR.POST.02.003.OralRinse","OR.POST.02.004.OralRinse","OR.POST.02.005.OralRinse","OR.POST.02.006.OralRinse","OR.POST.02.007.OralRinse","OR.POST.02.008.OralRinse","OR.POST.02.009.OralRinse","OR.POST.02.010.OralRinse","OR.POST.02.011.OralRinse","OR.POST.02.012.OralRinse","OR.POST.02.013.OralRinse","OR.POST.03.001.OralRinse","OR.POST.03.002.OralRinse","POST.01.001.BAL","POST.01.003a.BAL","POST.01.004a.BAL","POST.01.005.BAL","POST.01.006.BAL","POST.01.007b.BAL","POST.01.009.BAL","POST.01.010.BAL","POST.01.011.BAL","POST.01.013a.BAL","POST.02.001.BAL","POST.02.002.BAL","POST.02.003.BAL","POST.02.004.BAL","POST.02.005.BAL","POST.02.006.BAL","POST.02.007.BAL","POST.02.008.BAL","POST.02.009.BAL","POST.02.010.BAL","POST.02.011.BAL","POST.02.012.BAL","POST.02.013.BAL","POST.03.001.BAL","POST.03.002.BAL","POST.04.001.BAL","POST.04.002.BAL","POST.04.003.BAL","POST.04.004.BAL","POST.04.005.BAL","RC1.ReagentControl","RC10.ReagentControl","RC2.ReagentControl","RC3.ReagentControl","RC4.ReagentControl","RC5.ReagentControl","RC6.ReagentControl","RC7.ReagentControl","RC8.ReagentControl","RC9.ReagentControl"
"8f2b20d0abbab28a8bc5c98e919a5123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103012770761307,0,0.00304037438335544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000859194853643133,0,4.96919101570264e-05,0.000112810525815798,0,0,0,0,0,2.22895863052782e-05,0,0,0,0,0.000283561532852629,0,0,0,0.000789906991233145,0,3.5988051966747e-05,0,0,0,0.000228748956000404,0,0,0,0,0,0,0,0,0,0,0,0.000150039466903251,0,0,0,0,0,0.0038797465981932,0,0,0,0,0,0,0.000278815591367869,0,0,0,0,0,0,0,0,0,0,0,9.62331591971405e-05,0,0,0.000809141323439443,0,0,0,0,0,0,0.000878313637815394,0,0,0,0,0
"8331f378da81b7b95ceb5501aed6579c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136861313868613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263882029210471,0,0.000938939147800945,0,0,0.00021795989537925,0,0,0,0,5.68996517741311e-05,0.00492063763262656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100578325370883,0,0.000136560110198072,0,9.97050392588592e-05,9.95733664223289e-05,0,0,0,1.76552633282525e-05,0.000755605398999419,0.0002645314232808,0,0,0,0,0,0,0,0,0,0,0,0.000574532261582411,0,0,0,0,0,0,0,0.000132522831379102,0,0.000146162891899254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000985148422833138,0,0,0,0,0,0,0,0.00192364604912696,0,0,0,0,0,0.00261024173108205,0,0,0,0,0,0,0,0,0,0,0,0,0
"b9d28e419d4cefcb09d06d5cb6c1db55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00724324485446443,0,0,0,0.00300791211665468,0,0,0,0,8.54277366775445e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095466094849237,0,0,0,6.49797912849104e-05,0,0,0,0,0,0,0,5.59585703094e-05,0,0,0,0,0,0,0,0,0,0,0,0.00617622181201092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114128515399914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d42764903b40c6be1928b03652e7f1d6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590784671532847,0,0,0.0306047197640118,0.00201207243460765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00119347566635725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061765330348009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f6a303cdea26c697df35da5eb75b2e28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649121569180837,0.000527313174590096,0.000253364531946287,0.000217985235133407,6.63042036865137e-05,0.0017164341761116,0,0,0.000888841005198373,0.000634983349325507,0.000341397910644787,0.000375882041381196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000685635927322592,0,0,0,8.17981041017205e-05,0.00017885470776696,0,0.000100578325370883,0,0,0,0.000348967637406007,0.000375314996514932,0,0.00111164046371288,0.000463623395149786,0.000229518423267283,0.000437455757315453,5.0871427554e-05,7.52598345788836e-05,6.30136739672509e-05,0,0.000686895388954514,0,0,0,0,0.000991356486218552,0,0.000558620892421377,6.38369179536012e-05,0.000195599488578898,0,0,0,1.61207118906371e-05,0,0,0,6.00300150075038e-05,0.0002723944803577,0.000265508951957232,0.000293555478723751,0.000940397600105325,0,0,0.000863947595775683,0,0,0,0,0,0.000906236851474253,0,0.00158911880799002,0,0,0,0,0,0.000236692981356947,0,0,0,0.000408355583477305,0.000620100806131048,0,0.00104481715699753,0.000522355574902058,0.000189147951527685,0,0.00011531175356231,0.00010776525648131,0,0,0,0,0,0,0,0,0,0
"175e2c2c8351ba0ffdda8ff6aa0e211e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00722323600973236,0,0,0.0281465093411996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50519669157767e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000946201676128683,0,0
"90325ec708f89d2eec01f20523d72b79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149026763990268,0,0,0.0295599803343166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000707244839322813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117113027689514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220038989364782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08b9f9c2327acc86b0bb6c348b906790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361161800486618,0,0,0.0833947885939036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342434892313238,0,0
"69d6cfcb70422396866b882baff23888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543643552311436,0,0,0.0853613569321534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123022344290905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ec183fae470e58e083303d814b6266a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399178832116788,0,0,0.0315265486725664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000331521018432569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399544480688683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118410925381382,0,0,0,0,0,0,0,0,0,0,0,0
