""	"rowname"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1067.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"NEG.OR.01.002.Water.OralControl"	"NEG.OR.01.004.Water.OralControl"	"NEG.OR.01.005.Water.OralControl"	"NEG.OR.01.006.Water.OralControl"	"NEG.OR.01.007.Water.OralControl"	"NEG.OR.01.010.Water.OralControl"	"NEG.OR.01.011.Water.OralControl"	"NEG.OR.01.013.Water.OralControl"	"NEG.OR.03.001.Water.OralControl"	"NEG.OR.CON1062.Water.OralControl"	"NEG.OR.CON1063.Water.OralControl"	"NEG.OR.CON1067.Water.OralControl"	"NEG.OR.CON1068.Water.OralControl"	"NEG.OR.CON1069.Water.OralControl"	"NEG.OR.CON1070.Water.OralControl"	"NEG.OR.CON1071.Water.OralControl"	"NEG.OR.CON1072.Water.OralControl"	"NEG.OR.CON1073.Water.OralControl"	"NEG.OR.CON1074.Water.OralControl"	"NEG.OR.CON1075.Water.OralControl"	"NEG.OR.CON1076.Water.OralControl"	"OR.CON1062.OralRinse"	"OR.CON1063.OralRinse"	"OR.CON1064a.OralRinse"	"OR.CON1065.OralRinse"	"OR.CON1066.OralRinse"	"OR.CON1067.OralRinse"	"OR.CON1068.OralRinse"	"OR.CON1069.OralRinse"	"OR.CON1069a.OralRinse"	"OR.CON1070.OralRinse"	"OR.CON1071.OralRinse"	"OR.CON1072.OralRinse"	"OR.CON1073.OralRinse"	"OR.CON1074.OralRinse"	"OR.CON1075.OralRinse"	"OR.CON1076.OralRinse"	"OR.POST.01.002.OralRinse"	"OR.POST.01.004.OralRinse"	"OR.POST.01.005.OralRinse"	"OR.POST.01.006.OralRinse"	"OR.POST.01.007.OralRinse"	"OR.POST.01.010.OralRinse"	"OR.POST.01.011.OralRinse"	"OR.POST.01.013.OralRinse"	"OR.POST.02.001.OralRinse"	"OR.POST.02.002.OralRinse"	"OR.POST.02.003.OralRinse"	"OR.POST.02.004.OralRinse"	"OR.POST.02.005.OralRinse"	"OR.POST.02.006.OralRinse"	"OR.POST.02.007.OralRinse"	"OR.POST.02.008.OralRinse"	"OR.POST.02.009.OralRinse"	"OR.POST.02.010.OralRinse"	"OR.POST.02.011.OralRinse"	"OR.POST.02.012.OralRinse"	"OR.POST.02.013.OralRinse"	"OR.POST.03.001.OralRinse"	"OR.POST.03.002.OralRinse"	"POST.01.001.BAL"	"POST.01.003a.BAL"	"POST.01.004a.BAL"	"POST.01.005.BAL"	"POST.01.006.BAL"	"POST.01.007b.BAL"	"POST.01.009.BAL"	"POST.01.010.BAL"	"POST.01.011.BAL"	"POST.01.013a.BAL"	"POST.02.001.BAL"	"POST.02.002.BAL"	"POST.02.003.BAL"	"POST.02.004.BAL"	"POST.02.005.BAL"	"POST.02.006.BAL"	"POST.02.007.BAL"	"POST.02.008.BAL"	"POST.02.009.BAL"	"POST.02.010.BAL"	"POST.02.011.BAL"	"POST.02.012.BAL"	"POST.02.013.BAL"	"POST.03.001.BAL"	"POST.03.002.BAL"	"POST.04.001.BAL"	"POST.04.002.BAL"	"POST.04.003.BAL"	"POST.04.004.BAL"	"POST.04.005.BAL"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"[Thermi]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00180629623258214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78136264518713e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175146482316739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"2"	"Acidobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0663598830208154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"3"	"Actinobacteria"	0.0231605351170569	0.0072202166064982	0.0533333333333333	0.0831104442559854	0.000125423303649818	0.0179175118323191	0	0.11026453214622	0.0039288361749444	0.108647450110865	0.0252845599096359	0	0	0.0185755438561637	0.0308698296836983	0.0671906302974264	0.0217773094485423	0.00958702064896755	0.00122959982114912	0.0216773650426181	0.0167908373179139	0	0.000367174591518267	0.000125572926477052	0	0.00710811821922933	0.00173557937723328	0.0116641644531701	0.00780487804878049	0.0089878022683501	0	0.00641744548286604	0	0.00241502683363148	0.0676779792563325	0.0809590508362857	0.0405532289074027	0.0961460210428414	0.0952570392962914	0.394234960767219	0.131808670633623	0.0529387411690861	0.126067282570636	0.107213410848338	0.135307371918884	0.0733824258060107	0.0874815765701517	0.0708568642587251	0.0206727265753845	0.000355082112738571	0.271733941547764	0.0219766041630827	0.0328688081193169	0.0368294905985214	0.00478468899521531	0.0370914667263027	0	0.00640516948191815	0.02065546681355	0.00143606393606394	0.000520712797963434	0.0980481162051748	0.0963049061697381	0.092873428577405	0.0738772711690093	0.0562890062409986	0.0253964670692477	0.000641889723345529	0.0915320784898252	0.0722339730629258	0.12602258874675	0.0995599698265024	0.0770445460367941	0.104171614496746	0.200332696531379	0.126600473598936	0.118821664100738	0.0857496030604307	0.12530364253407	0.150824714693295	0.118755186233603	0.0781455057386242	0.112461464893628	0.155930851263989	0.0601690566853007	0.0546628634814991	0.0763546669858302	0.0996561307645202	0.0503148502514352	0.161988541401581	0.149879954140939	0.17743688562772	0.096420552106723	0.0672109136881719	0.0916591746950457	0.0695427742686487	0.123495099535388	0.10648650470061	0.0992321323095098	0.100813558593414	0.14249471251282	0.106465181831539	0.11559448013598	0.111602467900617	0.105483101576566	0.0937964192171074	0.0889603569634621	0.0694201508397751	0.24161426955355	0.139126586013573	0.0472721177031889	0.0880957494581877	0.0807249690744836	0.141960890295929	0.146401055785419	0.0320793684494972	0.164271612130628	0.0666883828363292	0.0831467969858005	0.0798341976616666	0.233139497457245	0.0429531730659679	0.143131628512559	0.115086591231617	0.167815323782075	0.0984512183091645	0.0297542414098933	0.0731725362533294	0.119318360295272	0.153435199465759	0.155742052817035	0.0710613142700028	0.168074124743486	0.0779541757562766	0.163920191036293	0.205172555802652	0.252524786008991	0	0.0790968183373247	0.00547932151705737	0.00986508051646598	0.0235547748323219	0.0168097281831187	0.0544607547422749	0.0048661800486618	0.00648845055800675	0.0470688190314359	NA	NA	NA	NA	NA	NA	NA
"4"	"Bacteroidetes"	0.0518394648829431	0.00681909346169274	0.0182716049382716	0.00821971426707548	0.00194406120657218	0.000676132521974307	0	0	0.00385470719051149	0.0266075388026608	0.000868885220262403	0.025134328358209	0	0.00178802026422966	0.086830900243309	0.000862998921251348	0.000526870389884088	0.0474434611602753	0.000782472613458529	0.0284120803956645	0	0.00130587644399799	0.000367174591518267	0	0	0	0	0.0168610694075528	0.00517073170731707	0.00385191525786433	0	0.00741433021806854	0	0	0.258420941226275	0.299464447557057	0.162466280161557	0.187743416845899	0.209189762630951	0.256920226678291	0.158176943699732	0.24812030075188	0.353974196676273	0.228029576113337	0.308805790108565	0.362538228912163	0.220304600706826	0.00715069272335757	0.0485559774479346	0.000221926320461607	0.000583461518060786	0.0196972303457767	0.00154555524072023	0.00719035884279107	0.000299043062200957	0.0027475160538002	0.000723589001447178	0.000566829157691872	0.0100523271825943	0.000624375624375624	0.000578569775514927	0.0197911938266001	0.181380176599614	0.180496579998745	0.073534453205348	0.0304848775804129	0.0113437552909306	0.00446113357725143	0.138693229843584	0.249323462627142	0.0728039126411797	0.131091274830274	0.22397800304777	0.0382487056476512	0.0924987328940699	0.0764239125919156	0.0804323016000674	0.138369404217683	0.225268940530176	0.222231633380884	0.287003960664073	0.299378812824612	0.103426699360037	0.236744861634794	0.185098166302088	0.171333491799382	0.157444749153089	0.130839888831316	0.0786624983311824	0.134084859656242	0.126081569490358	0.197761684270875	0.36109826971338	0.259121691151249	0.2014214353731	0.147620365246265	0.131074710889545	0.137473464298952	0.273529841408964	0.218768807497206	0.0548328368902215	0.304844669122649	0.159759154158624	0.16168084042021	0.278520034281842	0.296329518137132	0.364178403449603	0.326882205796611	0.0322275130883165	0.0806390422796442	0.287075601862	0.131499306870766	0.163961464932339	0.0528733857112522	0.179430018547582	0.0492192476210697	0.27714664854193	0.339246054073262	0.360729969413735	0.302477741221956	0.045791043495054	0.0113554365576697	0.227028530255723	0.18437213507981	0.305723793213873	0.0604962020321594	0.0599090206849198	0.400044391831903	0.385063609235119	0.3787066923187	0.170329253968855	0.372023645861974	0.286549343946272	0.155769643014766	0.0648299816463066	0.0844576229305659	0.0334072295092062	0	0.00472117687307561	0.00662283209453021	0	0.0506228042159055	0	0.118741202493465	0.00455077948995224	0	0	NA	NA	NA	NA	NA	NA	NA
"5"	"Cyanobacteria"	0	0	0	0	0	0.00270453008789723	0	0	0	0	0	0	0	0	0.0235705596107056	0.00117121282169826	0	0.0138888888888889	0.00447127207690588	0	0	0	0.00764947065663056	0	0	0	0	0	0	0.00171196233682859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164820361653909	0	0	0.000887705281846427	0	0.00447273352829864	0	0.000978969044323667	0	0	0	0	0	0	0	0	0	0.000146422072081494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019811996796358	0	0	0	0	0	0.0110212511339729	0	0	0.000153785691095808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"6"	"Firmicutes"	0.236622073578595	0.0866425992779783	0.120352733686067	0.0975927979646422	0.00614574187884109	0.0514705882352941	0	0.0196900950261108	0.0355077835433655	0.155210643015521	0.0605612998522895	0.0149850746268657	1	0.00447005066057415	0.215328467153285	0.0519956850053937	0.031524411661398	0.043756145526057	0.00435949027498323	0.417657581816269	0.0259090403647281	0.0180813661476645	0.00501805275074965	0.00175802097067872	0.000706963591375044	0.00305524379598454	0.0119448698315467	0.0366093082342072	0.00995121951219512	0.0016049646907768	0.00159489633173844	0.0677881619937695	0.0303527481542248	0.0381037567084079	0.51372327665279	0.517195353052649	0.274304365321847	0.516828460152299	0.415705255713212	0.276454882301656	0.428758255410972	0.371559449244782	0.484862768335713	0.634052040413163	0.506691399048638	0.464761058620513	0.324125580437091	0.0596839068784789	0.152686687377747	0.0204172214824678	0.0320373415371559	0.105539308446585	0.00752170217150511	0.0341964014448233	0.0111642743221691	0.0060381457461423	0.0159792571152918	0.0278313116426709	0.030983200220325	0.040521978021978	0.01162925248785	0.0297775760326827	0.525786918130519	0.498127889221244	0.363786995771912	0.11029764762362	0.187877419718946	0.00433275563258232	0.568269606551119	0.490505147905067	0.357836297677971	0.555198642192608	0.481867974116036	0.520424642568755	0.31896630148024	0.520983756387354	0.558009145430731	0.407014907878052	0.544833224521965	0.526003031383737	0.570835859016837	0.532049599529139	0.595221138095577	0.47081047315858	0.448625851809843	0.531550590286031	0.672892089775146	0.340091384426963	0.427996083841396	0.589526318323441	0.659835791660026	0.531032643099721	0.503549729229956	0.364617736703353	0.482793290739923	0.57297292139763	0.737313618430721	0.557839404252451	0.498123201798678	0.442578024245551	0.777572221431621	0.485549793490741	0.707948488951629	0.59895947973987	0.466817701654963	0.495346417423128	0.452636454371693	0.325227106020425	0.591381442214096	0.42043586392952	0.597684104653712	0.55624109182498	0.286520223413427	0.721174449356215	0.607968326437438	0.51869366326314	0.466080849273392	0.557434333264236	0.368487603164568	0.34889124333166	0.341008089607965	0.118187687516615	0.537953962254611	0.559408240923305	0.435236623365774	0.323394495412844	0.342259605756301	0.424311926605505	0.437977069263389	0.394272812554656	0.632970863486531	0.512812757767391	0.419078415521423	0.2867230747891	0.574273252945472	0.507701177827197	0.604686249153273	0.365598430346632	0.0730071843995895	0.0576043453401944	0.00870448280864645	0.255509421909933	0.00715307582260372	0.349989945706817	0.0048661800486618	0.00570983649104594	0.0271028037383178	NA	NA	NA	NA	NA	NA	NA
"7"	"Fusobacteria"	0.0328595317725753	0.0276774969915764	0.00352733686067019	0.00169613151542827	0.000250846607299636	0	0.0120481927710843	0	0.000296515937731653	0.0288248337028825	0	0	0	0	0.0339111922141119	0.000431499460625674	0.000351246926589392	0	0	0	0	0	0	0	0	0	0	0.00184778842822497	0	0.000641985876310721	0	0.000186915887850467	0	0	0.0155648063218796	0.0235643074894949	0.0502257925093521	0.00550776027437075	0.00424346903593688	0.0404451830863121	0.00398875302425947	0.0243592996701345	0.0136558299889568	0.017299768583846	0.015715683820015	0.0177689692289292	0.014453477868112	0	0.000536953937022974	0	0	0	7.72777620360114e-05	0.00168787766262701	0	0	0	0	0	0	0	0	0.0344200521175081	0.0267743217520447	0.0152553993829277	0	0	0.000192566917003659	0.0247575595081207	0.0120221468785965	0.0401545082027406	0.0213477495599698	0.011683120210252	0.03358784971263	0.0111570301636191	0.0158531012421586	0.0144764355798617	0.0336679347420692	0.00689922890971009	0.0206579885877318	0.0118231413421531	0.0158279446737773	0.0183035396339292	0.00490694121454321	0.0192911861874027	0.0330560177481974	0.0184733229605191	0.0079325451033963	0.0283198344532954	0.00372782733694194	0.0100201018975986	0.0113468513482846	0.00735812089992515	0.0264168879916109	0.0790620228855351	0.0202946396198691	0.000423915623834232	0.0357650705933888	0.00407115955007653	0.0433270999914023	0.00937762227467453	0.0162105687031001	0.00334764195788079	0.0451025512756378	0.0633283947992586	0.0253596928707258	0.0247173713085399	0.0381049107562677	0.0232827339454368	0.0186949374025208	0.0274786914417609	0.0082589765117051	0.0882970348989766	0.00272185008590236	0.0105578541874732	0.00088787662375263	0.0161989837201023	0.00962421155497646	0.0245373613792868	0.0923808992732207	0.211853314164324	0	0.0472765424920047	0.0189759754857021	0.0343900978795093	0.000271283417184571	0.0161359539953652	0.00784255696951761	0.0208732527092822	0.0164565213934778	0.00513393702875762	0.0163046466868298	0.0765126546856539	0.0265437625310518	0.00941366856781986	0.00405238448233259	0.000615801465607488	0	0	0.000619401562797789	0	0.0227563078888534	0.00107296137339056	0.00901534955425967	0	0	0	NA	NA	NA	NA	NA	NA	NA
"8"	"Nitrospirae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0590784671532847	0	0	0.0306047197640118	0.00201207243460765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119347566635725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0061765330348009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"9"	"Planctomycetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0933698296836983	0	0	0.0997418879056047	0.00279454504806618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00264432820552414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000770829144044507	0	0	0	NA	NA	NA	NA	NA	NA	NA
"10"	"Proteobacteria"	0.655518394648829	0.871640593662254	0.804514991181658	0.809380911996869	0.991533927003637	0.927231237322515	0.987951807228916	0.870045372827669	0.956412157153447	0.680709534368071	0.913285255017812	0.959880597014925	0	0.975166385219033	0.447688564476886	0.878347973493605	0.945820161573586	0.754977876106195	0.984350547730829	0.532252972745449	0.957300122317358	0.980612757408338	0.986598127409583	0.998116406102844	0.999293036408625	0.989836637984786	0.98631955079122	0.932671209146553	0.977073170731707	0.983201369569869	0.998405103668262	0.918193146417445	0.969647251845775	0.959481216457961	0.139928032173852	0.0748125566449699	0.460408065934393	0.193556356449456	0.253348362286169	0.0299831081081081	0.274259465114758	0.302674982304785	0.020551081423223	0.0100186261782469	0.031829665202449	0.0743221309094637	0.346075215138116	0.862308536139438	0.777547654661911	0.978118064802486	0.695645255397019	0.780147944262859	0.957986656706422	0.919116902406913	0.983751993620415	0.954122871473755	0.983297153883261	0.965196689717719	0.938309005783531	0.957417582417582	0.987271464938672	0.852383113935542	0.161470538610075	0.20158135837848	0.472860244543481	0.802928468554969	0.775382357920876	0.990371654149817	0.173939124033192	0.175666428193723	0.399481545669511	0.192601206939904	0.199314251639833	0.302646891179404	0.374777444214849	0.259548834697354	0.227563439723646	0.334963715993734	0.0965833230403661	0.079243937232525	0.00994579834158226	0.0721483849928814	0.169905480887605	0.130109202019974	0.28467327410048	0.207574677125426	0.0739036993479698	0.421480050873805	0.413099105513773	0.110672453281795	0.0489129037730902	0.0811598472753622	0.029795711706952	0.281657633995511	0.137584517419499	0.189325992786673	0.00769265552051186	0.162199683256394	0.124319620956627	0.194249204711547	0.0157226068906631	0.0868808123241678	0.0124629080118694	0.0687810571952643	0.0652417999295761	0.0885795271070288	0.0690638189610746	0.233745227482179	0.111283575807003	0.317181638072756	0.0364792201261106	0.215904875334362	0.376616561082581	0.0812694245507017	0.0556427450420887	0.379277731668243	0.0621743211315014	0.0225206550386449	0.15937323787229	0.160802245394896	0.168208055275411	0.827503702859747	0.0321202391636855	0.11881648184661	0.0565974687774111	0.517386800828648	0.55194117815352	0.0766498964190589	0.0273598240929794	0.0529629688518595	0.034459894669041	0.0266565850976079	0.0489894907033145	0.447889739354123	0.184563162361114	0.198385635450128	0.108658168606441	0.634401569653368	0.84317482039001	0.92967409948542	0.981430436674887	0.646678377515171	0.974964234620887	0.463838058851129	0.985716860412724	0.987801712950947	0.925828377230246	NA	NA	NA	NA	NA	NA	NA
