"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"8f2b20d0abbab28a8bc5c98e919a5123","Bacteria","SR1",NA,NA,NA,NA,NA
"8331f378da81b7b95ceb5501aed6579c","Bacteria","SR1",NA,NA,NA,NA,NA
"b9d28e419d4cefcb09d06d5cb6c1db55","Bacteria","SR1",NA,NA,NA,NA,NA
"d42764903b40c6be1928b03652e7f1d6","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"f6a303cdea26c697df35da5eb75b2e28","Bacteria","TM7","TM7-3",NA,NA,NA,NA
"175e2c2c8351ba0ffdda8ff6aa0e211e","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Nevskia","ramosa"
"90325ec708f89d2eec01f20523d72b79","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"08b9f9c2327acc86b0bb6c348b906790","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA
"69d6cfcb70422396866b882baff23888","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera","mobilis"
"ec183fae470e58e083303d814b6266a4","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera","mobilis"
"a9ad2b7b104ba23b9b166c1cd5855627","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"5c60f2ee7c39d1ad91fe8883e9c912be","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"654a991591c20af626d7517a5274cb23","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"910bb400df4eee9b6b56eaa037af7e45","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"73e58f3167408056db7c7e95ebc418ca","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"814893d3eaa36358bd83df44b211d5cb","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas",NA
"04a75f1199d1bc6b58d19dd8aeb24520","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",NA
"be8f338e5dbcdc4f7278ecf027ff5697","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"0de07f4f862b3931614c1d3023d4a474","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA
"e752579b34f48caae0848eae9718dc43","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca",NA
"4bccbdb96fb331b5bd8aec33cbb8a34e","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"52e3cb0935a827c84c1e61f13bbf45d5","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","lwoffii"
"31dfd281f26f77135ba493aa705759b6","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella",NA
"39ea1d44040fe41a692e1ea272e6f7e5","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",NA
"7d29ff2fec89a8a38af798470108afac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","bacilliformis"
"f31e9f3769fec621a5d847588fd15ced","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","oralis"
"0a872b1366c59a01488e1aa4a93e58aa","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","oralis"
"6305e5d4b299a22c21683ecf55e92123","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","oralis"
"6c1a1a5f08997b9b34c3734d19adfc8e","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"8f9ca42c10f62423906999a969413bde","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","subflava"
"d1cdeb500dbcd965dfd6f6bd1e02c64f","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","subflava"
"4ef3d05269c762db631f033432d48b23","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"7e0ecbb4fbf9ecc060a97add42282431","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"f4e2caa5dd059e88e824cbd21cec3ece","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"8bd8a20601c0703a841ecd04fc98a423","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",NA
"c329b98d029e7a7e977d6a001d8f9001","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","cinerea"
"a34c5c6c56bd530b1e64af1b0d7f7c12","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",NA
"873532098886a3068e333839cff270e3","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",NA
"2856bb28e32e86e4b542b996bc7926d2","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Eikenella",NA
"26e5e0fa319e12161f3374cb4ad84de4","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
"38bb03b8610ee268dd960b18d3624497","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
"524f26d3f46fb5afb54aa699c6007d4b","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter",NA
"8cb72eb3e2d08b2932f46f3905550b64","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"bfcf99258cd9756216979b9e7885af0f","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"1f41e146e7808ce168f1bde967d3ddd0","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA
"ee171b115643c57d6133b1b4fcabba55","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"1f49a099a6d886e26ffc43d09e9a8baa","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus",NA
"2e94d442d64c2a52ff9e146ad06f1aa0","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"5b9a6dbfc952e746732fc2d8d850487d","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"5d79d1ea0d507f44c0c2906ce4113e8c","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae",NA,NA
