index,Sample-type,Status,patient_ID,Methanobacteria,Deinococci,[Chloracidobacteria],Acidobacteria-6,Actinobacteria,Coriobacteriia,Rubrobacteria,Thermoleophilia,0319-6E2,Armatimonadia,[Saprospirae],Bacteroidia,Cytophagia,Flavobacteriia,Sphingobacteriia,Chlamydiia,Anaerolineae,Thermomicrobia,4C0d-2,Chloroplast,Oscillatoriophycideae,Bacilli,Clostridia,Erysipelotrichi,Fusobacteriia,Gemmatimonadetes,BD1-5,Nitrospira,Phycisphaerae,Planctomycetia,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Epsilonproteobacteria,Gammaproteobacteria,VHS-B5-50,Spirochaetes,Synergistia,Mollicutes,TM7-3,Unknown
FL.CON1062.BAL.FlushControl,BAL,control,1062,0,0,0,0,0.0800125509883903,0,0.0225917791026043,0,0,0,0,0.0602447442736116,0,0.0476937558832758,0,0,0,0,0,0,0,0.25007844367744,0.103859428930028,0,0,0,0,0,0,0,0.027925949168497,0.0571069971760276,0.117665516159398,0,0.220583620960151,0,0,0,0,0.0122372136805773,0
FL.CON1063.BAL.FlushControl,BAL,control,1063,0,0,0,0,0.248447204968944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22360248447205,0.0636645962732919,0,0.0108695652173913,0,0,0,0,0,0,0,0,0,0.453416149068323,0,0,0,0,0,0
FL.CON1064.BAL.FlushControl,BAL,control,1064,0,0,0,0,0.23757815070747,0,0,0,0,0,0,0.00658111220796315,0,0.0426127015465614,0,0,0,0,0,0,0,0.338269167489306,0.00345508390918065,0.00361961171437973,0.0077328068443567,0,0,0,0,0,0.0850608752879237,0,0.020895031260283,0,0.254195459032577,0,0,0,0,0,0
FL.CON1065.BAL.FlushControl,BAL,control,1065,0,0,0,0,0.235731110708462,0,0,0.00706649755390469,0,0,0,0.015038956332669,0.0331581808298605,0.0462040224678384,0,0,0,0,0,0.0251857220510962,0,0.180648668236999,0.0130458416379779,0,0.0047109983692698,0,0,0,0,0,0.131183185359667,0.0240985685812647,0.00380503714441022,0,0.280123210726581,0,0,0,0,0,0
FL.CON1066.BAL.FlushControl,BAL,control,1066,0,0,0,0,0.174731182795699,0,0,0.0239247311827957,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0.315591397849462,0,0,0,0,0,0,0,0,0.161559139784946,0.0190860215053763,0.039247311827957,0.0010752688172043,0.256451612903226,0,0,0,0,0,0
FL.CON1067.BAL.FlushControl,BAL,control,1067,0,0,0,0,0.127675097276265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00778210116731518,0,0.438715953307393,0.0459630350194553,0,0,0,0,0,0,0,0.0902237354085603,0.00851167315175097,0.00316147859922179,0,0.277966926070039,0,0,0,0,0,0
FL.CON1068.BAL.FlushControl,BAL,control,1068,0,0,0,0,0.164597517020425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647577092511013,0,0,0,0,0,0,0,0,0.0208249899879856,0,0,0,0.167000400480577,0,0,0,0,0,0
FL.CON1069.BAL.FlushControl,BAL,control,1069,0,0,0,0,0.235160465776768,0,0,0,0,0,0,0,0,0.00511218403862539,0,0,0,0,0.0130644703209316,0.00539619426299347,0,0.351888667992048,0.00227208179494462,0,0,0,0,0,0,0,0.0727066174382278,0,0.0176086339108208,0,0.296790684464641,0,0,0,0,0,0
FL.CON1070.BAL.FlushControl,BAL,control,1070,0,0,0,0,0.189790870249606,0.00966944007195862,0,0,0,0,0,0.0103440521700022,0,0.0231616820328311,0,0,0,0,0.012817629862828901,0,0,0.300876995727457,0,0,0,0,0,0,0,0,0.216325612772656,0,0.00382280188891387,0,0.233190915223746,0,0,0,0,0,0
FL.CON1071.BAL.FlushControl,BAL,control,1071,0,0,0,0,0.0979899497487437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641959798994975,0.00753768844221105,0,0,0,0,0,0,0,0.028894472361809,0,0.0268006700167504,0,0.196817420435511,0,0,0,0,0,0
FL.CON1072.BAL.FlushControl,BAL,control,1072,0,0,0.0398915569326104,0,0.257939581719597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215336948102246,0,0,0,0,0,0,0,0,0.12006196746708,0,0.0495739736638265,0,0.31719597211464,0,0,0,0,0,0
FL.CON1073.BAL.FlushControl,BAL,control,1073,0,0,0,0,0.108473557692308,0,0,0,0,0,0,0.0498798076923077,0,0,0,0,0,0,0,0,0,0.400240384615385,0.00510817307692308,0,0,0,0,0,0,0,0.0276442307692308,0,0.0267427884615385,0,0.381911057692308,0,0,0,0,0,0
FL.CON1074.BAL.FlushControl,BAL,control,1074,0,0,0,0,0.165666266506603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270108043217287,0,0,0.536014405762305,0,0,0,0,0,0,0,0,0,0,0,0,0.271308523409364,0,0,0,0,0,0
FL.CON1076.BAL.FlushControl,BAL,control,1076,0,0,0,0,0.174533106960951,0,0,0,0,0,0,0,0,0,0,0,0,0.00577249575551783,0,0,0,0.487266553480475,0,0,0,0,0,0,0,0,0.06553480475382,0,0.033955857385399,0,0.232937181663837,0,0,0,0,0,0
FL.POST.01.004.BAL.FlushControl,BAL,control,01004,0,0,0,6.5868920847513e-4,0.0397409155779998,0,0,0,0,0,0.0254693160610385,0.0141618179822154,0,0.00537929520254693,0.00647711055000549,0.00428147985508837,0,0,0.0615874409924251,0,0,0.113733669996707,0.0520364474695356,0,0.0103194642661104,0.0232736853661214,0,0.121308595894171,0,0.0406191678559666,0.158853880777253,0.129212866395872,0.0268964760127347,0.00922164891865188,0.135580195411132,0.0076847074322099,0.0115270611483149,0,0,0,0.0019760676254254
FL.POST.01.005.BAL.FlushControl,BAL,control,01005,0,0,0,0,0.34109205460273,0,0.00735036751837592,0,0,0,0,0,0,0.0287014350717536,0,0,0,0,0,0.0218760938046902,0,0.168008400420021,0.00630031501575079,0,0.0015750787539377,0,0,0,0,0,0.119180959047952,0.0262513125656283,0.0768288414420721,0,0.202835141757088,0,0,0,0,0,0
FL.POST.01.006.BAL.FlushControl,BAL,control,01006,0,0,0,0,0.24487756121939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338330834582709,0.00299850074962519,0,0,0,0,0,0,0,0.0994502748625687,0,0.0454772613693153,0,0.268865567216392,0,0,0,0,0,0
