""	"rowname"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1067.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"NEG.OR.01.002.Water.OralControl"	"NEG.OR.01.004.Water.OralControl"	"NEG.OR.01.005.Water.OralControl"	"NEG.OR.01.006.Water.OralControl"	"NEG.OR.01.007.Water.OralControl"	"NEG.OR.01.010.Water.OralControl"	"NEG.OR.01.011.Water.OralControl"	"NEG.OR.01.013.Water.OralControl"	"NEG.OR.03.001.Water.OralControl"	"NEG.OR.CON1062.Water.OralControl"	"NEG.OR.CON1063.Water.OralControl"	"NEG.OR.CON1067.Water.OralControl"	"NEG.OR.CON1068.Water.OralControl"	"NEG.OR.CON1069.Water.OralControl"	"NEG.OR.CON1070.Water.OralControl"	"NEG.OR.CON1071.Water.OralControl"	"NEG.OR.CON1072.Water.OralControl"	"NEG.OR.CON1073.Water.OralControl"	"NEG.OR.CON1074.Water.OralControl"	"NEG.OR.CON1075.Water.OralControl"	"NEG.OR.CON1076.Water.OralControl"	"OR.CON1062.OralRinse"	"OR.CON1063.OralRinse"	"OR.CON1064a.OralRinse"	"OR.CON1065.OralRinse"	"OR.CON1066.OralRinse"	"OR.CON1067.OralRinse"	"OR.CON1068.OralRinse"	"OR.CON1069.OralRinse"	"OR.CON1069a.OralRinse"	"OR.CON1070.OralRinse"	"OR.CON1071.OralRinse"	"OR.CON1072.OralRinse"	"OR.CON1073.OralRinse"	"OR.CON1074.OralRinse"	"OR.CON1075.OralRinse"	"OR.CON1076.OralRinse"	"OR.POST.01.002.OralRinse"	"OR.POST.01.004.OralRinse"	"OR.POST.01.005.OralRinse"	"OR.POST.01.006.OralRinse"	"OR.POST.01.007.OralRinse"	"OR.POST.01.010.OralRinse"	"OR.POST.01.011.OralRinse"	"OR.POST.01.013.OralRinse"	"OR.POST.02.001.OralRinse"	"OR.POST.02.002.OralRinse"	"OR.POST.02.003.OralRinse"	"OR.POST.02.004.OralRinse"	"OR.POST.02.005.OralRinse"	"OR.POST.02.006.OralRinse"	"OR.POST.02.007.OralRinse"	"OR.POST.02.008.OralRinse"	"OR.POST.02.009.OralRinse"	"OR.POST.02.010.OralRinse"	"OR.POST.02.011.OralRinse"	"OR.POST.02.012.OralRinse"	"OR.POST.02.013.OralRinse"	"OR.POST.03.001.OralRinse"	"OR.POST.03.002.OralRinse"	"POST.01.001.BAL"	"POST.01.003a.BAL"	"POST.01.004a.BAL"	"POST.01.005.BAL"	"POST.01.006.BAL"	"POST.01.007b.BAL"	"POST.01.009.BAL"	"POST.01.010.BAL"	"POST.01.011.BAL"	"POST.01.013a.BAL"	"POST.02.001.BAL"	"POST.02.002.BAL"	"POST.02.003.BAL"	"POST.02.004.BAL"	"POST.02.005.BAL"	"POST.02.006.BAL"	"POST.02.007.BAL"	"POST.02.008.BAL"	"POST.02.009.BAL"	"POST.02.010.BAL"	"POST.02.011.BAL"	"POST.02.012.BAL"	"POST.02.013.BAL"	"POST.03.001.BAL"	"POST.03.002.BAL"	"POST.04.001.BAL"	"POST.04.002.BAL"	"POST.04.003.BAL"	"POST.04.004.BAL"	"POST.04.005.BAL"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"Methanobacteriaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00896860986547085	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"2"	"Deinococcaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00743362831858407	0	0	0	0	0	0	0	0	0.0200156985871272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000638243553740107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0713139857080356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"3"	"Trueperaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296039199673336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00775901414879051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011441647597254	0	0	0	0	0.0011177347242921	0	0	0	0	0	0	0	0	0.00416399743754004	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"4"	"Thermaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409062303335431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00389863547758285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00140230601433468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00892857142857143	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"5"	"Ellin6075"	0	0	0	0	0	0	0	0	0	0	0.0398915569326104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00353982300884956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148753099022896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"6"	"mb2424"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000658689208475134	0	0	0.00928950592078399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"7"	"RB40"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0469579420171499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154798761609907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"8"	"Actinomycetaceae"	0.00439284593661751	0	0	0	0	0	0	0	0.00382280188891387	0	0	0	0	0	0	0	0	0	0	0.0855229263266358	0	0	0	0.0147401086113266	0	0	0	0	0	0	0	0	0	0	0.014002333722287	0.0114285714285714	0	0.0159824506424318	0.031992337164751	0	0.0161866722724406	0.0522208883553421	0.0222087623662427	0.0224406924556529	0	0.0945134160993192	0.0280693747147421	0	0.0215267727930535	0.0151824155903014	0	0	0	0	0	0	0	0	0	0	0	0	0.0347490347490347	0.0322496749024707	0.0129390018484288	0	0	0	0.0939144246996922	0.0346447445684087	0.0592990127873849	0.0187915114207031	0.0494445313722422	0.00551181102362205	0.0365916509190861	0.0339851024208566	0.0561963190184049	0.0557384244020189	0.0894526034712951	0.0330877913295496	0.0367954070981211	0.0905617118838365	0.0931209089786341	0.127582017010936	0.0560956790123457	0.00705119165138908	0.0467361915797605	0	0	0.168286445012788	0.0258419990687568	0.0593510946979689	0	0.0539826349565874	0.0244029677718525	0.0707280271595624	0	0.178710178710179	0.021850553007823	0.0654255675349896	0.0523868143892764	0.0596720015807153	0.0320751026794446	0.0644259877357758	0.0197857648725212	0.112541894514024	0.140145395799677	0.00624108416547789	0	0.00153128190170629	0	0	0.0650294015911449	0.0962414578587699	0	0.001577010688628	0.0293659043659044	0	0.0879402845812923	0.0112988894253984	0.0218535469107551	0	0.0159438775510204	0.0141610406718261	0.0678000404776361	0	0.0080125073285128	0.00607476635514019	0.014548802946593	0.0212385867407701	0.0210249671484888	0	0.0248437738149672	0.112460063897764	0.00560538116591928	0.062415196743555	0.116071428571429	0	0	0	0.00203334688897926	0	0.0203510082150859	0.00663434549630008	0	0	0	NA	NA	NA	NA	NA	NA	NA
"9"	"Brevibacteriaceae"	0	0	0.0149720302731162	0.0112339191882587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100463678516229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00752115324349734	0	0	0	0	0	0	0	0	0	0	0	0.00203942895989123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00285306704707561	0	0.0403237567449322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"10"	"Corynebacteriaceae"	0	0	0.0534715366897006	0.0413118318535967	0.0166666666666667	0.0240758754863813	0	0.165009940357853	0.00607150888239262	0	0.0615801704105345	0	0	0	0	0.131956597829891	0	0.00173540220498163	0	0.0170015455950541	0.00675195451314854	0.0102941176470588	0.00300582378358069	0	0.0116585182399398	0	0.0091023226616447	0	0.0270844397238449	0.00708782742681048	0	0.040272614622057	0	0	0	0	0.0359312619336921	0.0122218740206832	0.00670498084291188	0	0.00378389741433677	0	0	0	0.00178497871756144	0	0.00559105431309904	0.0988500663423264	0.00361794500723589	0.00181282574212554	0.0173985086992543	0.00991150442477876	0.00954889693776753	0	0.0136986301369863	0	0	0.04449027695934	0.0391324846770391	0.00540794733129556	0	0.00324236692785734	0	0	0	0	0.0209256523879862	0	0	0	0	0	0	0.00223097112860892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145080453706146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00534950071326676	0.0684747583243824	0.16486801808371	0	0	0	0.0130979498861048	0	0.0824426143332749	0	0	0.000699790062981106	0	0	0.0221252726706139	0	0	0	0.0132265275707899	0.014266171584913	0	0	0.018261214767765	0	0.00248207391064534	0	0.152502662406816	0.00288276745675849	0	0	0.011400651465798	0.0306097259935818	0.0281435579654015	0	0	0.00392083644510829	0	0.049476688867745	0.0900098911968348	0.00140224358974359	NA	NA	NA	NA	NA	NA	NA
