index,Sample-type,Status,patient_ID,Methanobrevibacter,Deinococcus,Truepera,Meiothermus,Actinobaculum,Actinomyces,N09,Varibaculum,Brevibacterium,Corynebacterium,Brachybacterium,Dermacoccus,Gordonia,Phycicoccus,Terracoccus,Frigoribacterium,Microbacterium,Pseudoclavibacter,Kocuria,Micrococcus,Nesterenkonia,Rothia,Mycobacterium,Rhodococcus,Nocardioides,Xylanimicrobium,Propionibacterium,Pseudonocardia,Bifidobacterium,Gardnerella,Scardovia,Atopobium,Collinsella,Olsenella,Slackia,Rubrobacter,Sediminibacterium,[Prevotella],Bacteroides,Paludibacter,Porphyromonas,Tannerella,Prevotella,Dyadobacter,Hymenobacter,Chryseobacterium,Cloacibacterium,Capnocytophaga,Flavobacterium,Salinimicrobium,Sphingobacterium,Candidatus Rhabdochlamydia,SHD-231,Chroococcidiopsis,Exiguobacterium,Alicyclobacillus,Anoxybacillus,Bacillus,Geobacillus,Gracilibacillus,Oceanobacillus,Aneurinibacillus,Paenibacillus,Planomicrobium,Solibacillus,Sporosarcina,Jeotgalicoccus,Salinicoccus,Staphylococcus,Thermoactinomyces,Gemella,Abiotrophia,Alloiococcus,Granulicatella,Enterococcus,Lactobacillus,Leuconostoc,Lactococcus,Streptococcus,Anaerovorax,Mogibacterium,Anaerococcus,Finegoldia,Parvimonas,Peptoniphilus,Pseudoramibacter_Eubacterium,[Ruminococcus],Blautia,Butyrivibrio,Catonella,Coprococcus,Epulopiscium,Johnsonella,Lachnoanaerobaculum,Lachnospira,Moryella,Oribacterium,Roseburia,Shuttleworthia,Peptococcus,Filifactor,Peptostreptococcus,Tepidibacter,Faecalibacterium,Ruminococcus,Dialister,Megasphaera,Phascolarctobacterium,Schwartzia,Selenomonas,Veillonella,Caldicellulosiruptor,Bulleidia,Sharpea,Fusobacterium,Leptotrichia,Sneathia,Nitrospira,A17,Planctomyces,Brevundimonas,Mycoplana,Phenylobacterium,Afipia,Bosea,Bradyrhizobium,Ochrobactrum,Hyphomicrobium,Pedomicrobium,Rhodoplanes,Methylobacterium,Mesorhizobium,Agrobacterium,Xanthobacter,Woodsholea,Amaricoccus,Paracoccus,Rhodobacter,Roseomonas,Reyranella,Skermanella,Raphanus,Kaistobacter,Novosphingobium,Sphingobium,Sphingomonas,Sphingopyxis,Achromobacter,Lautropia,Curvibacter,Hydrogenophaga,Methylibium,Polaromonas,Tepidimonas,Janthinobacterium,Massilia,Methylotenera,Chitinimonas,Eikenella,Kingella,Neisseria,Methyloversatilis,Petrobacter,Peredibacter,Bdellovibrio,Desulfobulbus,Bilophila,Desulfovibrio,Plesiocystis,Campylobacter,Sulfuricurvum,Sulfurimonas,Rheinheimera,Shewanella,Cardiobacterium,Buchnera,Morganella,Legionella,Alcanivorax,Halomonas,Actinobacillus,Aggregatibacter,Haemophilus,Acinetobacter,Alkanindiges,Enhydrobacter,Moraxella,Perlucidibaca,Psychrobacter,Pseudomonas,Methylophaga,Nevskia,Aquimonas,Lysobacter,Pseudoxanthomonas,Silanimonas,Stenotrophomonas,Treponema,Pyramidobacter,TG5,Mycoplasma,Unknown
FL.CON1062.BAL.FlushControl,BAL,control,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067775337307813,0,0,0,0,0.00784436774395984,0,0,0,0,0,0,0,0,0,0.0225917791026043,0,0,0,0,0,0,0.0219642296830875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881706934421086,0,0,0.0517728271101349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188264825855036,0,0,0,0,0,0,0.00658926890492626,0,0,0,0,0,0,0,0,0,0,0,0.0219642296830875,0,0,0,0,0,0.0458111076247254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027925949168497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050203953561343,0,0,0,0,0,0,0,0,0,0,0,0,0.0520866018198933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141512394101035,0,0,0,0.00847191716347662,0,0,0,0,0,0.0251019767806715,0,0,0.0241606526513963,0,0,0,0,0,0,0,0,0.379353624097898
FL.CON1063.BAL.FlushControl,BAL,control,1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248447204968944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295031055900621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636645962732919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150621118012422,0.0108695652173913,0,0.0652173913043478,0,0,0,0,0,0,0,0,0,0.0419254658385093,0,0,0.184782608695652,0,0,0,0,0,0,0,0,0.194099378881988
FL.CON1064.BAL.FlushControl,BAL,control,1064,0,0,0,0,0,0,0,0,0.0149720302731162,0.0534715366897006,0,0,0,0,0,0,0,0.0118460019743337,0,0.138696939782823,0.00740375123395854,0,0,0,0,0,0.00180980585718987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00658111220796315,0,0,0.0426127015465614,0,0,0,0,0,0,0,0,0,0,0,0.0350444225074037,0,0,0.0301085883514314,0,0,0,0,0,0.0240210595590655,0,0.0213886146758802,0,0,0,0,0,0,0.0278051990786443,0,0.126357354392892,0,0,9.8716683119447e-4,0,0,0,0,0,0,0,0,8.2263902599539e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164527805199079,0,0,0,0,0,0.00361961171437973,0,0,0.0077328068443567,0,0,0,0,0.0309312273774268,0,0,0,0,0.0115169463639355,0,0,0,0,0.0148075024679171,0,0,0,0,0.00740375123395854,0.00510036196117144,0.0116814741691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195788088186904,0,0.112043435340573,0,0,0,0.0806186245475485,0,0,0,0,0,0.00970714050674564,0.00148075024679171,0,0.0144784468575189,0,0,0,0,0,0,0,0,0.123724909509707
FL.CON1065.BAL.FlushControl,BAL,control,1065,0,0,0,0,0,0,0,0,0.0112339191882587,0.0413118318535967,0.00688530530893278,0,0,0,0,0,0.0023554991846349,0,0.012864649393006,0.0244609530712086,0.0757383583982606,0.00253669142960681,0,0,0,0.00326146040949447,0,0,0.00398622938938213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015038956332669,0,0.0331581808298605,0.0195687624569668,0,0,0.0266352600108715,0,0,0,0,0,0,0,0,0.0173944555173039,0,0,0.068309476354412,0,0,0,0,0,0,0,0.0117774959231745,0,0,0,0,0,0,0.00163073020474724,0,0.00271788367457873,0,0,0,0,0,0,0,0,0,0.00181192244971915,0,0,0,0,0,0,7.2476897988766e-4,0,0,0,0,0,0,0,0,0.00724768979887661,0.00326146040949447,0,0,0,0,0,0,0,0,0,0,0.0047109983692698,0,0,0,0,0.00978438122848342,0,0,0,0,0.0139518028628375,0.0047109983692698,0,0,0,0,0,0.00905961224859576,0,0,0.00634172857401703,0.0409494473636528,0,0.0023554991846349,0,0,0,0,0,0,0.0228302228664613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125022649030621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083348432687081,0,0.0719333212538503,0,0,0,0.0422177930784562,0.0168508787823881,0,0.0293531436854503,0,0,0.00688530530893278,0,0,0.0340641420547201,0,0,0,0.00199311469469107,0,0,0,0,0.267258561333575
FL.CON1066.BAL.FlushControl,BAL,control,1066,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0.00537634408602151,0,0.0661290322580645,0.0763440860215054,0,0.00376344086021505,0,0.00645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0524193548387097,0,0,0.101075268817204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126344086021505,0,0,0,0,0.056989247311828,0,0,0,0,0.00295698924731183,0,0,0,0,0.00376344086021505,0.00806451612903226,0.0483870967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010752688172043,0,0,0,0,0,0,0,0.00725806451612903,0,0.0932795698924731,0,0,0,0.0793010752688172,0,0,0,0,0,0,0,0,0.0330645161290323,0,0.00510752688172043,0,0,0,0,0,0,0.297043010752688
FL.CON1067.BAL.FlushControl,BAL,control,1067,0,0,0,0,0,0,0,0,0,0.0240758754863813,0.010943579766537,0,0,0,0,0,0,0,0,0.0167801556420233,0.0537451361867704,0,0,0,0,0.00948443579766537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109678988326848,0,0,0.0702821011673152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216439688715953,0,0.0505836575875486,0,0,0,0.0459630350194553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223735408560311,0,0,0,0,0,0,0,0,0,0,0.00413424124513619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851167315175097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155642023346304,0,0,0,0,0,0,0,0,0,0.0374513618677043,0,0,0.0629863813229572,0,0,0,0.00705252918287938,0,0,0,0,0.288667315175097
FL.CON1068.BAL.FlushControl,BAL,control,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164597517020425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764917901481778,0,0,0.10452543051662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248297957549059,0,0.0616740088105727,0,0,0,0,0,0,0,0,0,0.052863436123348,0,0,0.0276331597917501,0,0,0,0,0,0,0,0,0.487384861834201
FL.CON1069.BAL.FlushControl,BAL,control,1069,0,0,0,0,0,0,0,0,0,0.165009940357853,0,0,0,0,0,0,0,0,0.0127804600965635,0,0.0573700653223516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511218403862539,0,0,0,0,0,0,0,0,0,0,0.0707185458676512,0,0,0.0701505254189151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00227208179494462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018460664583925,0.0235728486225504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306731042317523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178926441351889,0,0.166429991479693,0,0,0,0.0102243680772508,0,0,0,0,0,0.0195967054813973,0,0,0.0752627094575405,0,0,0,0,0,0,0,0,0.254473161033797
FL.CON1070.BAL.FlushControl,BAL,control,1070,0,0,0,0,0,0.00382280188891387,0,0,0,0.00607150888239262,0,0,0,0,0.00247357769282662,0,0,0,0,0.0476725882617495,0.129750393523724,0,0,0,0,0,0,0,0,0,0,0,0.00966944007195862,0,0,0,0,0,0,0,0.0103440521700022,0,0,0,0,0,0,0,0,0.0231616820328311,0,0,0,0,0,0,0,0.098943107713065,0,0,0.0631886665167529,0,0,0,0,0,0,0,0.0562176748369687,0,0,0,0,0,0,0.0103440521700022,0,0.003597931189566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490218124578367,0,0,0.0398021137845739,0,0.0814031931639307,0,0,0,0,0,0,0,0,0,0,0.0123678884641331,0.0337306049021812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240611648302226,0,0.121879919046548,0,0,0,0.016190690353047,0,0,0,0,0,0.0139419833595682,0.0119181470654374,0,0.0451990105689229,0,0,0,0,0,0,0,0,0.0852259950528446
FL.CON1071.BAL.FlushControl,BAL,control,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979899497487437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745393634840871,0,0.189698492462312,0,0,0.0506700167504188,0,0.0284757118927973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586264656616415,0.0016750418760469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028894472361809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925460636515913,0,0.10427135678392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325376884422111
