""	"rowname"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1067.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"NEG.OR.01.002.Water.OralControl"	"NEG.OR.01.004.Water.OralControl"	"NEG.OR.01.005.Water.OralControl"	"NEG.OR.01.006.Water.OralControl"	"NEG.OR.01.007.Water.OralControl"	"NEG.OR.01.010.Water.OralControl"	"NEG.OR.01.011.Water.OralControl"	"NEG.OR.01.013.Water.OralControl"	"NEG.OR.03.001.Water.OralControl"	"NEG.OR.CON1062.Water.OralControl"	"NEG.OR.CON1063.Water.OralControl"	"NEG.OR.CON1067.Water.OralControl"	"NEG.OR.CON1068.Water.OralControl"	"NEG.OR.CON1069.Water.OralControl"	"NEG.OR.CON1070.Water.OralControl"	"NEG.OR.CON1071.Water.OralControl"	"NEG.OR.CON1072.Water.OralControl"	"NEG.OR.CON1073.Water.OralControl"	"NEG.OR.CON1074.Water.OralControl"	"NEG.OR.CON1075.Water.OralControl"	"NEG.OR.CON1076.Water.OralControl"	"OR.CON1062.OralRinse"	"OR.CON1063.OralRinse"	"OR.CON1064a.OralRinse"	"OR.CON1065.OralRinse"	"OR.CON1066.OralRinse"	"OR.CON1067.OralRinse"	"OR.CON1068.OralRinse"	"OR.CON1069.OralRinse"	"OR.CON1069a.OralRinse"	"OR.CON1070.OralRinse"	"OR.CON1071.OralRinse"	"OR.CON1072.OralRinse"	"OR.CON1073.OralRinse"	"OR.CON1074.OralRinse"	"OR.CON1075.OralRinse"	"OR.CON1076.OralRinse"	"OR.POST.01.002.OralRinse"	"OR.POST.01.004.OralRinse"	"OR.POST.01.005.OralRinse"	"OR.POST.01.006.OralRinse"	"OR.POST.01.007.OralRinse"	"OR.POST.01.010.OralRinse"	"OR.POST.01.011.OralRinse"	"OR.POST.01.013.OralRinse"	"OR.POST.02.001.OralRinse"	"OR.POST.02.002.OralRinse"	"OR.POST.02.003.OralRinse"	"OR.POST.02.004.OralRinse"	"OR.POST.02.005.OralRinse"	"OR.POST.02.006.OralRinse"	"OR.POST.02.007.OralRinse"	"OR.POST.02.008.OralRinse"	"OR.POST.02.009.OralRinse"	"OR.POST.02.010.OralRinse"	"OR.POST.02.011.OralRinse"	"OR.POST.02.012.OralRinse"	"OR.POST.02.013.OralRinse"	"OR.POST.03.001.OralRinse"	"OR.POST.03.002.OralRinse"	"POST.01.001.BAL"	"POST.01.003a.BAL"	"POST.01.004a.BAL"	"POST.01.005.BAL"	"POST.01.006.BAL"	"POST.01.007b.BAL"	"POST.01.009.BAL"	"POST.01.010.BAL"	"POST.01.011.BAL"	"POST.01.013a.BAL"	"POST.02.001.BAL"	"POST.02.002.BAL"	"POST.02.003.BAL"	"POST.02.004.BAL"	"POST.02.005.BAL"	"POST.02.006.BAL"	"POST.02.007.BAL"	"POST.02.008.BAL"	"POST.02.009.BAL"	"POST.02.010.BAL"	"POST.02.011.BAL"	"POST.02.012.BAL"	"POST.02.013.BAL"	"POST.03.001.BAL"	"POST.03.002.BAL"	"POST.04.001.BAL"	"POST.04.002.BAL"	"POST.04.003.BAL"	"POST.04.004.BAL"	"POST.04.005.BAL"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"Euryarchaeota"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00896860986547085	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"2"	"[Thermi]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296039199673336	0	0	0	0	0	0	0	0	0	0	0	0	0.0409062303335431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00775901414879051	0	0	0	0	0.00743362831858407	0	0	0	0.00389863547758285	0	0	0	0	0.0200156985871272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000638243553740107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0713139857080356	0	0	0	0	0	0	0	0	0	0	0.0011441647597254	0.00140230601433468	0	0	0	0.0011177347242921	0	0	0	0	0	0	0	0	0.00416399743754004	0	0.00892857142857143	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"3"	"Acidobacteria"	0	0	0	0	0	0	0	0	0	0	0.0398915569326104	0	0	0	0.000658689208475134	0	0	0.0581870151082074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154798761609907	0	0	0	0.00353982300884956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148753099022896	0	0	0	0	0	0.00297879796740845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"4"	"Actinobacteria"	0.102604330090995	0.248447204968944	0.23757815070747	0.242797608262366	0.198655913978495	0.127675097276265	0.164597517020425	0.235160465776768	0.199460310321565	0.0979899497487437	0.257939581719597	0.108473557692308	0.165666266506603	0.174533106960951	0.0397409155779998	0.348442422121106	0.24487756121939	0.013679052674561	0.183215725806452	0.215352910870685	0.119402985074627	0.153308823529412	0.108773248168326	0.0809412981639514	0.165851823993983	0.157644001732352	0.202134337727558	0.141436464088398	0.175252257036644	0.15593220338983	0.273757079924481	0.30731102850062	0.0582152432018384	0.216287215411559	0.135355892648775	0.0198319327731092	0.0374934907134178	0.0974616107803196	0.0804597701149425	0.00774068698597	0.0842968257305024	0.0612244897959184	0.0286694932364224	0.0891216071810216	0.040230674172731	0.116539847817381	0.120607028753994	0.30406899601946	0.142366136034732	0.140493995014729	0.19828776581055	0.112566371681416	0.155087257161673	0.267814113597246	0.146543485186365	0.11812865497076	0.162300787690053	0.125515615792575	0.185289957567185	0.0902892076181519	0.168367346938776	0.128884085382329	0.127006705954074	0.0912873862158648	0.177818853974122	0.182975627500909	0.13835548990645	0.241147741147741	0.130447731559615	0.040223135642983	0.103292917246406	0.0693341973108699	0.0654827100610233	0.0669291338582677	0.130905342724618	0.336824953445065	0.298895705521472	0.145271011630459	0.120541674613771	0.154932979108803	0.0502348643006263	0.124761176920138	0.134370754600469	0.159983799108951	0.133641975308642	0.056832604710196	0.0748036564954294	0.140765233821445	0.111437324483023	0.304347826086956	0.128666770138134	0.0757056185702981	0.0275044722719141	0.117402793506984	0.0398794342684906	0.217653715579027	0	0.186790986790987	0.0968438090099811	0.12803857228956	0.0834359184790042	0.139300533491405	0.0856639937414434	0.160521617635644	0.0747609773371105	0.223143411536426	0.182956381260097	0.0747146932952924	0.159774436090226	0.394487385153857	0.0032994923857868	0.0679816836914406	0.0650294015911449	0.214692482915718	0.0123042505592841	0.149290345190117	0.0353430353430353	0.128763440860215	0.108000933053417	0.0443264123611782	0.0504576659038902	0.0995637270177625	0.0256696428571429	0.115099621274494	0.0767051204209674	0.131520119225037	0.14188000781708	0.0696261682242991	0.132780847145488	0.0793965859468043	0.026281208935611	0.100661886376172	0.0989178478890413	0.277529286474973	0.0840807174887892	0.0949796472184532	0.167410714285714	0.0673181324647123	0.0957788200444335	0.115930802995094	0.159414396095974	0.120667847204655	0.126026885735624	0.0428680785914774	0.216619092927371	0.18595450049456	0.178485576923077	NA	NA	NA	NA	NA	NA	NA
"5"	"Armatimonadetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132707227439771	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063816604708798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00595759593481689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"6"	"Bacteroidetes"	0.107938500156887	0	0.0491938137545245	0.0944011596303678	0.00833333333333333	0	0	0.00511218403862539	0.0335057342028334	0	0	0.0498798076923077	0	0	0.0514875397958063	0.0287014350717536	0	0.0745202123315639	0	0.0628541988665636	0.000710732054015636	0	0	0.0157745021980864	0	0	0.0495919648462021	0	0.0281465746149761	0.00585516178736518	0	0	0	0.0481611208406305	0.247374562427071	0.269411764705882	0.24214546085749	0.169852710748982	0.136781609195402	0.181664247701984	0.141475719991591	0.118847539015606	0.0496668685645064	0.239153665313101	0.238088699711657	0.350020024028835	0.105089000456413	0.0371517027863777	0.00922575976845152	0	0	0.0233628318584071	0.0447810339150477	0	0	0	0	0	0	0	0	0	0.27494411704938	0.155786736020806	0.0744916820702403	0	0.0118168389955687	0.0714285714285714	0.211456368509878	0.131826189078097	0.169217518054727	0.348452940223554	0.265138475981849	0.225984251968504	0.238447002233293	0.119180633147114	0.125889570552147	0.157779240728549	0.0591264543200458	0.21229320130419	0.220381002087683	0.228123805884601	0.178214153390144	0.166869177804779	0.326388888888889	0.269214497250035	0.102999871250161	0.0444024563060935	0.252489149859586	0.0051150895140665	0.245227378550365	0.267871274070166	0.107334525939177	0.143953693217566	0.329758868536981	0.246133534515277	0.0163551401869159	0.165967365967366	0.137307796061505	0.220451349360477	0.177403911913555	0.140881248765066	0.369059260707999	0.142202903050532	0.366589943342776	0.249955900511554	0.291195476575121	0.252496433666191	0.0341031149301826	0.0387195566574304	0.186548223350254	0.171187037689327	0.225873400207541	0.066628701594533	0	0.0481864377080778	0.259095634095634	0.0663978494623656	0.149988336832284	0.26441332689522	0.103203661327231	0	0.20344387755102	0.168121192162029	0.0483707751467314	0.116803278688525	0.0687903068204026	0.231775700934579	0.119337016574586	0.251290194521636	0.0954007884362681	0.284611141753999	0.196921201036427	0.236421725239617	0.0911274823830878	0.0922659430122117	0.078125	0	0.0582572204393977	0.0353730957913762	0	0.0498355679230964	0.0449962658700523	0.0931360040826742	0.0424992071043451	0.0187932739861523	0	NA	NA	NA	NA	NA	NA	NA
"7"	"Chlamydiae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00428147985508837	0	0	0.00102082482645978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"8"	"Chloroflexi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00577249575551783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00300050008334722	0	0	0	0	0	0.0046247635064116	0	0	0	0.00356995743512289	0	0	0.00420168067226891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000397535281256211	0	0.000391175089970271	0	0	0	0	0	0	0	0	0	0	0	0.00108024691358025	0	0	0	0	0	0	0	0	0.00239083931043161	0	0	0	0	0	0	0	0	0.000977899471934285	0	0.00199185552407932	0	0	0	0	0.00794808225171358	0	0	0	0	0	0	0.00233887733887734	0	0.00513179379519477	0	0	0	0	0	0	0	0.00214969708813758	0.0233644859813084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"9"	"Cyanobacteria"	0	0	0	0.0251857220510962	0	0.00778210116731518	0	0.018460664583925	0.0128176298628289	0	0	0	0.0270108043217287	0	0.0615874409924251	0.0218760938046902	0	0.0839118007349939	0.0317540322580645	0.035548686244204	0	0	0.0559834679691903	0	0	0	0	0.0243093922651934	0	0.0049306625577812	0	0	0	0.0302101576182137	0	0	0.00104148585315049	0	0.00363984674329502	0	0	0	0	0	0	0	0.0118667275216796	0	0	0.00453206435531385	0	0.0184070796460177	0	0.00998278829604131	0	0	0.047261403187397	0	0	0.000705384434516812	0	0	0	0.00182054616384915	0	0	0.0327424913835549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225317194108211	0	0	0	0	0	0.0740318906605923	0	0	0.00209937018894332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106422703510082	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
"10"	"Firmicutes"	0.353937872607468	0.287267080745342	0.345343863112866	0.193694509874977	0.315591397849462	0.484678988326848	0.647577092511013	0.354160749786992	0.300876995727457	0.649497487437186	0.215336948102246	0.405348557692308	0.536014405762305	0.487266553480475	0.165770117466242	0.174308715435772	0.341329335332334	0.0175581870151082	0.430947580645161	0.378413189077795	0.566098081023454	0.567647058823529	0.359947398083787	0.401086113266098	0.336968785257616	0.308791684711997	0.335530445699937	0.428729281767956	0.368560807222517	0.439137134052388	0.407803650094399	0.201363073110285	0.558789735733435	0.288091068301226	0.339889981663611	0.582689075630252	0.416073598333623	0.614854277655907	0.358429118773946	0.520561199806483	0.498002943031322	0.75750300120048	0.89178275792449	0.471040820688181	0.611423863792393	0.378654385262315	0.430967594705614	0.44250331711632	0.326881331403763	0.402220711534104	0.382214857774096	0.318761061946903	0.42937108989134	0.277452667814114	0.438993309971328	0.453411306042885	0.351346400439641	0.475839717147908	0.378595002357379	0.474253468140136	0.327315541601256	0.377195352607403	0.379191221296484	0.4148244473342	0.407024029574861	0.400873044743543	0.453717380600689	0.41025641025641	0.393527251067209	0.551967116852613	0.300404160869277	0.444354446784384	0.4197308715381	0.30997375328084	0.403710702628414	0.25512104283054	0.26159509202454	0.553214834320825	0.594316231165363	0.356116411061466	0.582724425887265	0.50095529231945	0.461899468939113	0.460105305791819	0.241280864197531	0.245522493301368	0.550276812153985	0.632971185640057	0.208067398519275	0.380562659846547	0.399425733354028	0.528752308098127	0.710196779964222	0.506857933811501	0.294458613494088	0.246887966804979	0.889018691588785	0.42952602952603	0.628270838953332	0.324248309114043	0.420599097250718	0.40387275242047	0.402503422648152	0.389272684933633	0.23574716713881	0.257188216616687	0.39983844911147	0.385164051355207	0.559344790547798	0.15801370861893	0.539847715736041	0.596688974991194	0.144586648218609	0.248291571753986	0.753914988814318	0.311810057823725	0.455301455301455	0.675537634408602	0.56099836715652	0.379333655239015	0.35045766590389	0.485665316297912	0.501753826530612	0.531039025193479	0.713013560008096	0.477459016393443	0.379323822552277	0.429439252336449	0.453406998158379	0.56510520047638	0.837319316688568	0.510204081632653	0.322511812223746	0.228115015974441	0.50416399743754	0.383989145183175	0.328125	0.338219326818675	0.560602320414712	0.356312935708753	0.558763725091501	0.451302807993929	0.333831217326363	0.219954069915795	0.261338407865525	0.154302670623145	0.388020833333333	NA	NA	NA	NA	NA	NA	NA
