"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"94f26b9c63015bcab428b440f5b90153","Bacteria","SR1",NA,NA,NA,NA,NA
"6b4495f6174ed9f1b21c74cdbb0e5af4","Bacteria","SR1",NA,NA,NA,NA,NA
"8f2b20d0abbab28a8bc5c98e919a5123","Bacteria","SR1",NA,NA,NA,NA,NA
"ac848854dcaadcaa7f77e5421d6915e1","Bacteria","SR1",NA,NA,NA,NA,NA
"8331f378da81b7b95ceb5501aed6579c","Bacteria","SR1",NA,NA,NA,NA,NA
"b9b0efad1a45d11385327b05b3c6e301","Bacteria","SR1",NA,NA,NA,NA,NA
"519ed09db2dab2688c783dacc6e034a8","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae",NA,NA
"630ebeea98056b3d7376820067cd9c66","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae","Gemmata",NA
"bdeb0df1e1356d8b092fecb35a088dec","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces",NA
"32e0991a4c96ecbfeccc73414867d5d6","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces",NA
"9a172efe2ec8f1f784401e0916468f0f","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces",NA
"aa08ca65394e78d584c5e5474fcfeb01","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","A17",NA
"dcc687c2dae44959f8cf1d3a15c9b813","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA
"ca9c2f216d9886e16424ee13b46d28bc","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter",NA
"5aa2aa1c287b9306f99a71b41e531e04","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"60f4ed1471099d575f950073bf6d3b8d","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"cd0e3536d8eb0541c49a8259f626aec1","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"d42764903b40c6be1928b03652e7f1d6","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"a2079f7b506412099867878b38751a90","Bacteria","TM7","TM7-3","I025","Rs-045",NA,NA
"166609bda4c3faaf46da411002bea026","Bacteria","TM7","TM7-3","CW040","F16",NA,NA
"5943764f035e75c849caf6190faf807b","Bacteria","TM7","TM7-3","CW040","F16",NA,NA
"f6a303cdea26c697df35da5eb75b2e28","Bacteria","TM7","TM7-3",NA,NA,NA,NA
"6f69c2ecb455c722b42b889bf078c068","Bacteria","TM7","TM7-3",NA,NA,NA,NA
"7a24de669b2195ef37501e3195777984","Bacteria","TM7","TM7-3",NA,NA,NA,NA
"2c44b5d2bba295deaa47c042f53070ed","Bacteria","TM7","TM7-3","CW040",NA,NA,NA
"2d15abc1c04e0d47ed47fce9656f8455","Bacteria","TM7","TM7-3","CW040",NA,NA,NA
"29981cda871fbbb1294bee271b9b2edd","Bacteria","SBR1093","VHS-B5-50",NA,NA,NA,NA
"a48a8bfcd1c90836773feb52c24e6366","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Caldicellulosiruptoraceae","Caldicellulosiruptor","saccharolyticus"
"80d0841443f385e02a4f3260626b2e11","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"e846997ee8fb7808aeefcd0126559c89","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"4dc6dcac9d919ff83ac050950a801987","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"e359038f11eea2d97c9e16d040eef832","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"f56f4120a301a9bb954635de0c8a26e2","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"cdacece7ec21ee62d806efdb10c10d30","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"eead1e60941d4ae4ef8d3310fe08a67b","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","geniculata"
"79c74160bb92dd32e81d737ab080a1f5","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","geniculata"
"82291b7c1ac2980eb77dae743cd747ab","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"f18bb9b9f2f5a3e2b348a036ee905d9f","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"0baefd6eb5cd4a95bdda388d545305a8","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","acidaminiphila"
"44ec5a861370410f314049dede7d94e1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","mexicana"
"d5652198e8e8b8ef53969e50a31d3359","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA
"261cb26a71ceeecea11bb6a9f93e0d42","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"730aa5503000f950677c90febb22631a","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Aquimonas",NA
"78d67047da59d3b399888df3fc3f6973","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Silanimonas","lenta"
"c22c6f65dcada98a3073de9d37c13cf3","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Nevskia","ramosa"
"175e2c2c8351ba0ffdda8ff6aa0e211e","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Nevskia","ramosa"
"a614a514fa70e12f5f0d71821b5829be","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Cupriavidus",NA
"90325ec708f89d2eec01f20523d72b79","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"52d326573c690d2cda8af3489b2f32b8","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"1757e45bb6c87a7e29a64e0bc4b37f42","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"4ba967df15029554ddfdbad892e95c95","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA,NA
"f530d898ea450fdb42da5ff695decd86","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Chitinimonas","taiwanensis"
"afed2a74fe8233850d2c04d91e8d9bfb","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","lividum"
"b526eae2d8a908efa6ac93bdf7c71ee9","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"c7a3c75d90688e68200e663a0c81ddb6","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"9610a5f30f5ab8ce40c3ede834a618b2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",NA
"4f61b34a592af0dfecc44ebd909df04a","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera","mobilis"
"83a965527fc366888eaf988842dd292d","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera","mobilis"
"ec183fae470e58e083303d814b6266a4","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylotenera","mobilis"
"a9ad2b7b104ba23b9b166c1cd5855627","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"5fb9d896cdaadb34a100ff20cd6c4702","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"195b29ee029920bd404e3b88d3d450e2","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
