""	"BRU.00011"	"BRU.00012"	"BRU.03713"	"BRU.03746"	"BRU.03775"	"BRU.03815"	"BRU.03824"	"BRU.03853"	"BRU.03861"	"BRU.04098"	"BRU.04348"	"BRU.04357"	"BRU.05218"	"BRU.05237"	"BRU.05270"	"BRU.05271"	"BRU.05327"	"BRU.1000"	"BRU.1006"	"BRU.1017"	"BRU.1018"	"BRU.1022"	"BRU.1028"	"BRU.1031"	"BRU.1032"	"BRU.1036"	"BRU.1037"	"BRU.1039"	"BRU.1040"	"BRU.1042"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON.1043.BAL"	"ILDCON.1044.BAL"	"ILDCON.1045.BAL"	"ILDCON.1046.BAL"	"ILDCON.1047.BAL"	"ILDCON.1048.BAL"	"ILDCON.1049.BAL"	"ILDCON.1050.BAL"	"ILDCON.1051.BAL"	"ILDCON.1052.BAL"	"ILDCON.1053.BAL"	"ILDCON.1054.BAL"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"
"Deinococci"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0162192393736018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0374862183020948	0	0	0	0	0	0	0	0	0	0
"Actinobacteria"	0.441952506596306	0.504207573632539	0.209831029185868	0.0518867924528302	0.219753086419753	0.0302613480055021	0.289156626506024	0.333333333333333	0.142414860681115	0.0606595995288575	0.105563480741797	0.0473041709053917	0.0313754104341481	0	0	0.198568872987478	0.146732429099877	0.229245113860498	0	0.0414673046251994	0.128829536527887	0.0972222222222222	0.0947368421052632	0.176380368098159	0.333333333333333	0.167427701674277	0.777777777777778	0.536	0.450549450549451	0.0274442538593482	0	0	0.466833541927409	0.204640670319046	0.214128035320088	0.0584795321637427	0.278086763070078	0.140809011776754	0	0.354919053549191	0	0	0.0253623188405797	0.0775458031529612	0.474425727411945	0.0491266375545851	0.0302013422818792	0.0346153846153846	0.114301490889012	0.0265734265734266	0.029045643153527	0.0533707865168539	0	0.0480072463768116	0.109615384615385	0.0205819730305181	0	0.150042625745951	0.0737833594976452	0	0.207894736842105	0	0	0.111177525403467	0.119344773790952	0.0479078229229836	0.0158730158730159	0.180610889774236	0.21259842519685	0.0164948453608247	0.0541722745625841	0.631229235880399	0.0113207547169811	0.108783239323127	0	0.352053140096618	0	0	0.335863377609108	0.0634299138606108	0	0.17444120505345	0.0259208731241473	0.00502092050209205	0.0473484848484848	0.496581196581197	0.124579124579125	0.0837927232635061	0	0.139275766016713	0.069817866435386	0.0617059891107078	0.0483288166214995	0.0576524263790958	0.129292929292929	0.117099135063207	0.150385604113111	0.149570490146539
"Coriobacteriia"	0	0	0	0	0	0	0	0	0	0.0123674911660777	0	0.00254323499491353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00354495649371576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385173247381144	0.254448398576512	0	0	0.00788781770376862	0	0	0	0	0	0	0.0142045454545455	0	0	0.0341786108048512	0	0	0	0	0	0	0	0	0	0
"Rubrobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0128637059724349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Thermoleophilia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125684821140831	0	0	0.0172413793103448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00444444444444444	0	0	0
"[Saprospirae]"	0	0	0	0	0	0	0	0	0	0	0.00534950071326676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0958670643374521	0.00949464012251149	0	0.363534675615213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0592149035262808	0	0
"Bacteroidia"	0	0	0	0	0	0	0	0	0.0402476780185759	0.53886925795053	0.0406562054208274	0.184638860630722	0.0890186063480482	0	0.445850914205345	0.165474060822898	0.277435265104809	0.0404339250493097	0.765938864628821	0.15311004784689	0	0.277777777777778	0.0210526315789474	0.29601226993865	0	0	0	0	0.0457875457875458	0	0	0	0	0	0	0	0	0	0	0	0.154131847725163	0	0	0.0489987217724755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15839808726838	0.0663026521060842	0.337780473013948	0.245775729646697	0.0172642762284197	0.00930565497494631	0.0412371134020619	0.452557200538358	0	0	0	0	0.00905797101449275	0	0	0.171726755218216	0.0164447924823806	0	0.00485908649173955	0	0	0.362689393939394	0.0897435897435897	0.141414141414141	0	0	0	0	0	0	0	0	0	0	0
"Cytophagia"	0	0	0	0	0	0	0	0	0	0	0.00285306704707561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058975185304544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0970231532524807	0	0	0	0	0	0	0	0	0	0
"Flavobacteriia"	0	0	0.0242703533026114	0	0	0	0	0	0	0.0265017667844523	0	0	0.00620211601605254	0	0	0	0	0.00493096646942801	0	0	0	0	0	0	0	0	0	0	0	0.1852487135506	0	0	0	0.0267483080889462	0	0	0.0100111234705228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112136266855926	0	0	0	0	0.0280701754385965	0	0.110775427995972	0	0	0	0.0235535074244752	0	0.0114531138153185	0	0	0.0332225913621262	0	0	0	0	0	0	0.0132827324478178	0.0595144870790916	0.10597519729425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029940119760479	0.0244215938303342	0
"Sphingobacteriia"	0	0	0	0	0	0	0	0	0.0619195046439628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0717274357441721	0.219188767550702	0.0345664038811401	0	0.0172642762284197	0.00930565497494631	0	0	0	0.00452830188679245	0	0	0	0	0	0	0.0368050117462803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
