sample-id,Level1,Sequencing run,Diagnosis,Truepera,Actinomyces,N09,Varibaculum,Brevibacterium,Corynebacterium,Brachybacterium,Dietzia,Gordonia,Janibacter,Salinibacterium,Micrococcus,Rothia,Mycobacterium,Nocardioides,Promicromonospora,Propionibacterium,Pseudonocardia,Sanguibacter,Collinsella,Rubrobacter,Solirubrobacter,Flavisolibacter,[Prevotella],Porphyromonas,Prevotella,Hymenobacter,Cloacibacterium,Capnocytophaga,Flavobacterium,Pedobacter,Sphingobacterium,Exiguobacterium,Bacillus,Staphylococcus,Gemella,Granulicatella,Streptococcus,Anaerococcus,Finegoldia,Peptoniphilus,Blautia,Catonella,Oribacterium,Selenomonas,Veillonella,Fusobacterium,Leptotrichia,Gemmatimonas,Mycoplana,Phenylobacterium,Bradyrhizobium,Devosia,Methylobacterium,Agrobacterium,Novosphingobium,Sphingomonas,Lautropia,Aquabacterium,Limnohabitans,Methylibium,Paucibacter,Variovorax,Janthinobacterium,Kingella,Neisseria,Rheinheimera,Klebsiella,Chromohalobacter,Halomonas,Actinobacillus,Haemophilus,Acinetobacter,Alkanindiges,Enhydrobacter,Moraxella,Pseudomonas,Vibrio,Pseudoxanthomonas,Akkermansia,Unknown
ILDCON1062.BAL,Controls,MSQ139,COVID,0,0.122584541062802,0,0,0,0.201086956521739,0,0,0,0,0,0,0.0283816425120773,0,0,0,0,0,0,0,0,0,0,0,0.00483091787439614,0,0,0,0,0,0,0,0,0,0.00543478260869565,0,0,0,0,0,0.00120772946859903,0,0.0398550724637681,0.0235507246376812,0,0.0585748792270531,0.118357487922705,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0.00422705314009662,0,0,0,0,0.0821256038647343,0,0,0.00543478260869565,0,0,0.194444444444444,0.0247584541062802,0,0,0,0.0706521739130435
ILDCON1063.BAL,Controls,MSQ139,COVID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108661417322835,0,0,0,0,0.192125984251969,0.107086614173228,0,0,0.307086614173228,0,0,0,0,0.0346456692913386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132283464566929,0,0,0.0204724409448819,0,0,0,0.0283464566929134,0,0,0,0.0692913385826772
ILDCON1064.BAL,Controls,MSQ139,COVID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851884312007011,0,0,0,0,0.0262927256792287,0,0,0,0.0201577563540754,0,0,0,0,0,0,0,0,0,0,0.0543382997370727,0,0,0,0,0,0,0,0,0,0,0,0.007011393514461,0,0,0,0,0,0.0035056967572305,0,0,0,0,0.0368098159509202
ILDCON1065.BAL,Controls,MSQ139,COVID,0,0.125237191650854,0,0,0,0.0683111954459203,0,0,0,0,0,0.126185958254269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171726755218216,0,0,0.0132827324478178,0,0,0,0,0,0.0351043643263757,0.0616698292220114,0,0,0,0,0,0,0.0901328273244782,0.0123339658444023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597722960151803,0,0,0.101518026565465,0,0,0,0.0094876660341556,0,0,0,0.125237191650854
ILDCON1066.BAL,Controls,MSQ139,COVID,0,0,0,0,0,0.0274079874706343,0,0,0,0,0,0.0234925606891151,0,0.0125293657008614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595144870790916,0,0,0,0.0368050117462803,0,0,0,0,0,0,0,0,0,0,0.00704776820673453,0,0,0,0,0,0,0,0,0.111198120595145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223962411902897,0,0,0.0281910728269381,0,0,0.0180109631949883,0.0156617071260767,0,0,0,0.436178543461237
ILDCON1067.BAL,Controls,MSQ139,COVID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10597519729425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304396843291995,0,0.738444193912063,0,0,0,0,0,0.0248027057497181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608793686583991,0,0,0,0,0,0,0.00789177001127396,0,0,0,0.0315670800450958
ILDCON1068.BAL,Controls,MSQ139,COVID,0,0.1044703595724,0,0,0,0.0087463556851312,0.00583090379008746,0,0,0.00583090379008746,0,0,0.0388726919339164,0.010689990281827,0,0,0,0,0,0,0,0,0,0,0,0.00485908649173955,0,0,0,0,0,0,0,0,0,0,0,0.0291545189504373,0,0,0,0,0.0140913508260447,0.00971817298347911,0,0.249757045675413,0,0,0,0,0.0043731778425656,0.0709426627793975,0,0,0,0.0145772594752187,0,0,0,0,0,0,0,0,0,0,0,0.0150631681243926,0,0.13022351797862,0,0,0.0680272108843537,0,0,0.00291545189504373,0.00291545189504373,0,0,0,0.208940719144801
ILDCON1070.BAL,Controls,MSQ139,COVID,0,0,0,0,0,0,0,0,0,0,0,0,0.0136425648021828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900409276944066,0.0668485675306958,0,0.699863574351978,0.0886766712141883,0,0,0,0,0,0,0,0,0,0,0.0136425648021828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272851296043656
ILDCON1071.BAL,Controls,MSQ139,COVID,0,0,0,0,0,0.00502092050209205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594142259414226,0.172384937238494,0,0.753138075313807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100418410041841
ILDCON1072.BAL,Controls,MSQ139,COVID,0,0.0331439393939394,0,0,0,0.00852272727272727,0,0,0,0,0,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362689393939394,0,0,0,0,0,0,0,0,0,0,0,0.471590909090909,0,0,0,0,0.0321969696969697,0.0331439393939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021780303030303,0,0,0.00284090909090909,0,0,0,0,0,0,0,0.0284090909090909
