"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"74eb86c95d8c389c6706639357e375d8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"fa338bd6ec6718e39c213efa4bc3b605","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"a80236c32ac9e6ef2a67978a9fbc1fef","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"92926c6adcfd174cb58c7145a5413f63","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"7493710600c0f1644f23bf3188b31609","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"e72ded3bc90c7b6a75ba78062e01a798","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"5e1edeb7fe85914a0fca00dd690a001b","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA
"8ea5e130a20b4519aa0cbf9fdfeffd9a","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA
"5dbda0dd023af6902b35a625dd71169a","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA
"45fd0adee96a1e7081b39e2aa615368e","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter",NA
"80ef3ebcc8182360da3369dfa95a89d8","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","mizutaii"
"5104eaab00e18e9b1a835c87e115c00c","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","mizutaii"
"f4904b552d533f8fc4ce6707638790e9","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"b30f90ef3bff587109270329c64dbfa9","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"e91d4c32efcfb30669f6d69d6c533fa8","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"ff363bebf2dd08c7259bea87b082328b","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium",NA
"d478b958e2f6af3e6ed433f70af654a4","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium",NA
"aaa8a2e2ee7d13c6ed0703f1600f3112","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"b9e064f4f765fe84ab7d82127a52a12c","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"e3b61a854270250a0691c77cdbb77bb2","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"2b687f6f2beab59adecb57a180b4bd0b","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"f749d05a83c102ad84b64e52e93f810d","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"e49e3dae47faeb85db7655d53ae5e871","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"fb8b268b0613585f50415cd61faaa7bc","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"cd1071ec9e0fc6a2437ce43d2b8e0c21","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"bd400855df5d4c537bf162dfff175cbb","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"370e245ddc172931a5ea3d0cb2e00745","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"221d134dba60b72cab87a73d8b5e65c6","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"cadfb7649199d29b28110e0f7ee6df7f","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"fd03a5767211b5e1d38980b124c17606","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"520769c7cc98ae3dc483f00cad789e4c","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA
"cf6c47e3eb738c84499d7ba73e63f870","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA
"ddd2c95e608290d3979dfc2e1291c9ed","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA
"2a78bc652804a356ce0f5f0ad9eeb513","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA
"ed500de5a57cb47d0165ffc148c8a120","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA
"f542ba12949ca5b05cc73ead29532c65","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA
"4ec1c301887b8b20b79a26abcd043a0e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"e9dae620c8f78917886927f61188d474","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"11c4984e08386207d9794b32d1739f8e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
