"","BRU.03709","BRU.03713","BRU.03722","BRU.03733","BRU.03746","BRU.03762","BRU.03775","BRU.03780","BRU.03787","BRU.03792","BRU.03804","BRU.03813","BRU.03815","BRU.03819","BRU.03822","BRU.03824","BRU.03839","BRU.03853","BRU.03856","BRU.03860","BRU.03861","BRU.03867","BRU.03871","BRU.03878","BRU.03881","BRU.03886","BRU.03895","BRU.03899","BRU.03904","BRU.03907","BRU.03916","BRU.03932","BRU.03936","BRU.03937","BRU.04003","BRU.04004","BRU.04006","BRU.04008","BRU.04013","BRU.04034","BRU.04035","BRU.04036","BRU.04044","BRU.04045","BRU.04049","BRU.04050","BRU.04056","BRU.04057","BRU.04058","BRU.04061","BRU.04064","BRU.04065","BRU.04071","BRU.04075","BRU.04077","BRU.04079","BRU.04082","BRU.04088","BRU.04090","BRU.04092","BRU.04093","BRU.04095","BRU.04098","BRU.04102","BRU.04113","BRU.04114","BRU.04119","BRU.04121","BRU.04133","BRU.04137","BRU.04146","BRU.04150","BRU.04151","BRU.04153","BRU.04341","BRU.04348","BRU.04351","BRU.04353","BRU.04357","BRU.04364","BRU.04372","BRU.04377","BRU.04381","BRU.05218","BRU.05228","BRU.05229","BRU.05231","BRU.05232","BRU.05235","BRU.05236","BRU.05237","BRU.05241","BRU.05243","BRU.05246","BRU.05249","BRU.05251","BRU.05256","BRU.05258","BRU.05264","BRU.05270","BRU.05271","BRU.05272","BRU.05327","BRU.05336","BRU.05341","BRU.05343","BRU.05344","BRU.05349","BRU.05352","BRU.05355","BRU.05361","BRU.05364","BRU.05377","BRU.05379","BRU.05382","BRU.1000","BRU.1006","BRU.1017","BRU.1018","BRU.1022","BRU.1028","BRU.1031","BRU.1032","BRU.1036","BRU.1037","BRU.1039","BRU.1040","BRU.1042","ILDCON1062.BAL","ILDCON1063.BAL","ILDCON1064.BAL","ILDCON1065.BAL","ILDCON1066.BAL","ILDCON1067.BAL","ILDCON1068.BAL","ILDCON1070.BAL","ILDCON1071.BAL","ILDCON1072.BAL","ILDCON1073.BAL","ILDCON1074.BAL","ILDCON1076.BAL","Mock.DNA","POST.01.001.BAL","POST.01.003a.BAL","POST.01.004a.BAL","POST.01.005.BAL","POST.01.006.BAL","POST.01.007b.BAL","POST.01.009.BAL","POST.01.010.BAL","POST.01.011.BAL","POST.01.013a.BAL","POST.02.001.BAL","POST.02.002.BAL","POST.02.003.BAL","POST.02.004.BAL","POST.02.005.BAL","POST.02.006.BAL","POST.02.007.BAL","POST.02.008.BAL","POST.02.009.BAL","POST.02.010.BAL","POST.02.011.BAL","POST.02.012.BAL","POST.02.013.BAL","POST.03.001.BAL","POST.03.002.BAL","POST.04.001.BAL","POST.04.002.BAL","POST.04.003.BAL","POST.04.004.BAL","POST.04.005.BAL","PRO.1019","PRO.1031","PRO.1035","PRO.1037","PRO.1038","PRO.1040","PRO.1041","PRO.1042","PRO.1044","PRO.1047","PRO.1049","PRO.1050","PRO.1053","PRO.1054","PRO.1055","PRO.1056","PRO.1057","PRO.1059","PRO.1061","PRO.1067","PRO.1068","PRO.1069","PRO.1070","PRO.1071","PRO.1073","PRO.1075","PRO.1077","PRO.1079","PRO.1080","PRO.1081","PRO.1082","PRO.1084","PRO.1085","PRO.1088","PRO.1091","PRO.1099","PRO.112","PRO.1125","PRO.1127","PRO.1134","PRO.1264","PRO.1265","PRO.1280","PRO.1282","PRO.1284","PRO.1286","PRO.1287","PRO.1289","PRO.1290","PRO.1291","PRO.1292","PRO.1295","PRO.1296","PRO.1299","PRO.1300"
"7cda9107576dcf900c495f42350bbcb0",0,0,0.000312242754548809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122646716134175,0,0,7.6816715317253e-05,0,0,0,0.000401382150710272,0,0,0,0.00648357252130837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000336420486028655,0.0376616223871594,0.000446416115621774,0,0,0,0,0,0,0,0,0,3.67680853019579e-05,0,0,0,0,0.000131860017405522,0.00136373069283448,0,0,0,0,0,0.00169276343630978,0,0,0,0.00010901119380697,0.00284781551712162,0,0,0,9.88972951589774e-05,0,0,0,0,0,0,0,0.000129776228702794,0,0,0,0.000888700804062632,0,0,0,0,0,0,0.000985950209514419,0,0,0,0,0,0,0,0,0,0,0,0.00058879478237239,0,0.000593119810201661,0,0,0,0,0,0,0,0,0.00257102455328448,0,0.000911152077638633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216068277575714,0,0,0.000296410469217773,0.0015083754531742,0,0,0.00010538240640725,0,0,0,0,0,0.000175685172171469,0,0,0,0,0,0,0,0.00143787912828578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000270057939703427
"6046915cd4ef8792461b808c4ae8867c",0,0,0,0.00346909931902865,0.00118630507352333,0,0,0.000616505534538321,0,0,0.00259337486297891,0,0,0.00100164977610181,0.00177105136048945,0.00157220645755043,0,0,0,0.00804289544235925,0,0.000582265845949093,0.000275862068965517,0,0.00215718471296565,0,0,0,0.000274771728102807,0,0.000402692285566358,0,0,0,0,0.000694998058093661,0,0,0.00209965688533825,0.00159533364907645,0,0,0.000959826882133259,0,0,0,0.00111094922415677,0,0,0,0,0.00125650691078801,0.00212478269267916,0.000357437448446522,0,0,0,0.000872712338612387,0.00583448487640104,0.0023044878423494,0,0,0,0,0,0.000371014039952354,0.00059469941822883,0.000965117882255618,0,0,0,0,0,0.00022584022830394,0.00224018840558898,0.00035222016108202,0,0,0.000341482032018962,0,0,0,0.00146218623920284,0.000422738349828418,0,0.0010650359020167,0,0,0,0.0032086158310315,0,0,0.00820686686040254,0,0,0.000616142945163278,0,0,0.00134219179920811,0.000238992554462726,0,0.000513771304755735,0,0,0.00197790026108283,0.000741157985236133,0,0.00173004394311616,0,0,0,0.00299488915654806,0.00165086552521107,0.00153507045579784,0.0013986013986014,0.000191142915168385,0,0,0.000276759150349408,0,0.000197794590317955,0.000738070230221137,0,0,0.00173859289881389,0,0,0,0.000667420604757226,0.000918248845437113,0.00330947751623712,0,0,0.027011252743148,0,0.00125501189816475,0,0,0,0,0,0,0,0,0.00187876990012855,0,0,0.00321572130415364,0.00188900468994268,0.000155725122911615,0,0,0,0.000889679715302491,0.00751262242228846,0,0,0,0,0,0,0,0,0.000401974139663682,0,0,0,0.000535789033068229,0.00143577258610734,0,0.0026855096754533,0.00674177887698086,0,0,0.000793684842764597,0,0,0,0.000481939935064935,0,0,0.00189266269121079,0,0.00429813024554933,0,0.00317854482244847,0,0.00152190154680539,0.00527453301085782,0.00047785157929947,0.00347854894815306,0.00205264863696928,0.00120481927710843,0,0,0,0,0.00127681307456588,0.000790368048054377,0,0,0.00347359502965264,0.00119436260848794,0.00105321000091583,0.00639494026704146,0,0,0.00289067594001304,0,0,0,0,0,0,0,0,0,0,0.00752435851655359,0,0,0,0.00351694311106887,0,0,0.00329104517224906,0
"871fcc3c84b0af8daad8418bebe9534c",0,0,0.102444009196968,0.00102788127971219,0.00190360581565371,0,0.00114138107109603,0.00182149362477231,0,0,0.00139026281314333,0,0.0227198252321136,0.00467436562180847,0.00180683017585288,0.000728583480328246,0.0102252556313908,0,0,0,0,0.000540675428381301,0.00102463054187192,0,0.00383141762452107,0.00128537602886458,0,0,0.00042272573554278,0,0,0,0.00267154105736783,0.000887185492742823,0,0.0307434435109667,0,0,0,0.0216367126155994,0,0.00407026563838903,0.0013786604307005,0,0,0,0.00218547388358709,0.0141244705931443,0,0.00181029965223191,0.0697176337362448,0,0.00435994370705593,0,0,0,0,0,0.0337785966528482,0,0.00562561819980218,0,0,0,0,0,0.00281835811247576,0,0.000804890669017458,0,0,0,0,0.000287433017841378,0.00386288898143228,0,0,0,0.0132173633569692,0,0,0.00204871386296381,0,0.000671407967374546,0,0,0,0,0,0.0167127033285902,0,0,0.00156065009148638,0.00794815358278308,0,0,0.00988142292490119,0.000447878177135819,0.0012415274142675,0.000147072341207832,0.00145057677695655,0.000603122836017602,0,0.00271965768575262,0.0133969777684011,0.000296463194094453,0,0.00781979862288502,0.00162037037037037,0,0,0.0105472183339301,0.00108485448799585,0.00606156026135559,0,0.000708572759745302,0,0.00358083913249105,0.00269840171590673,0.00151820192085547,0,0.000766457546768104,0,0,0.000579530966271298,0,0,0.0320764832022873,0.00153877528319027,0.00191751964782456,0.0352873040168783,0.00148298873963201,0,0.00284820469720316,0.00124422324920014,0,0,0,0.000582476841848143,0.00389450332758196,0,0,0.0705888800591894,0,0,0,0.0152078774617068,0.0378293881196963,0,0,0,0,0,0.00255041518386714,0.0062047569803516,0,0,0,0,0,0,0.00285465453841688,0,0,0.000254274998410781,0.000403111068955705,0.00109927447884396,0.0019757220594391,0.00522808496028216,0.00388573266159288,0,0,0.0171997202263623,0,0.00268136771204256,0.00202994769899458,0.0128420921388941,0.00012801911752155,0.000634131493506494,0.00221794340588364,0,0,0,0.00431168901604003,0,0.0057114477278371,0,0.00105149561415645,0,0.00492187126678454,0,0.00525766142100904,0.0344126506024096,0.000587184069440899,0,0,0,0.0232379979570991,0.00806175409015465,0,0,0.00262637672973736,0.0812485070467394,0,0.00189739985945186,0.000954319888026467,0.000301114122252334,0.00206476852858074,0.00155359917141378,0.00287976961843053,0.0313295853154582,0,0.00561671534486632,0.00116279069767442,0,0,0.00602330182457683,0.000287852619458837,0.0117073917257563,0.00133328655134908,0,0,0,0,0,0.00586549179892776,0.000883825984483944
"27213bf503a6322cd009da0f1bada6e3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133553303480242,0.00075135512263189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000897375177605504,0,0.00117823479005998,0.0062825032285086,0,0,0,0,0,0,0.0112429136296508,0,0,0.00637434807803747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281220496956792,0,0,0,0.000352007798326609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435800895318846,0,0,0,0,0,0,0,0,0,0.00831770341787425,0,0,0.0117622638898499,0.00970329053764151,0,0,0,0,0,0,0,0,0,0.000270073189834445,0,0,0,0,0,0,0,0,0,0.00347547448853833,0,0,0,0,0.000889943636902996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317552726984043,0,0,0.000342492820823563,0,0,0,0,0,0.000351370344342937,0,0.00026765699755763,0,0,0,0,0,0,0,0,0,0.0138931633326006,0,0,0,0,0,0,0,0,0,0
"4ec1c301887b8b20b79a26abcd043a0e",0,0,0,0,0,0.0029833856283113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329027540823787,0,0,0,0,0,0,0,0.00214631753234807,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174836834833976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142659166870465,0,0,0,0,0,0,0,0,0,0,0.000527440069622089,0,0,0.000795820213833431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014831568994605,0,0,0,0,0,0,0,0,0,0,0.00108454523046586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032974280061552,0,0,0,0,0,0,0,0,0,0
"00195669516a08d7c151fad1ecadf78f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000283376430165421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00247337544203921,0,0,0,0,0,0,0.000994729677847196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025587637658982,0,0,0,0,0,0,0,0,0,0,0,0,0.00109757845819346,0,0,0,0.00194725898544506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967212117525397,0,0,0,0,0,0,0,0,0,0,0,0,0.00154039347007116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000351811830929286,0,0,0,0,0,0
"e83781c7f4cfbd3cdd2c51a3dfe855b6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819650937297996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186767521128076,0,0.0454412100270561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378601673035216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ec62f5ab04d9c4ebc9aa3850f7e776c5",0,0,0.0014760566578671,0.00899396119748169,0.012000993185643,0.00390926392675274,0.000780944943381492,0.0181028443323525,0,0,0.0478303879367965,0.0190568475452196,0.00557072637902785,0.126620315814282,0.0210200540260112,0.00644221182606028,0,0,0,0.0124260606834333,0,0.0263267343204126,0,0,0.0361247947454844,0.000383357762994701,0,0,0.0502620899560365,0,0.0170281309325203,0.000100962509254897,0.00365579302587177,0.00837503105149225,0,0.0134502565360479,0.000204081632653061,0.00273435719819532,0.0208685409945204,0.00189445870827829,0,0.00824764353041988,0.0116749851663118,0,0,0.00120650862490625,0.00874189553434836,0,0,0.0130055738173503,0,0,0.0114517508761279,0.00252955732746769,0,0.00171399764745421,0.00506811401459329,0,0.0515891294334408,0,0.00411102868447082,0,0,0,0.0121181088923024,0.00134736677666907,0.0547899159663866,0,0,0,0,0,0,0.0442236228878806,0.0196016485489036,0,0,0.0109984533424987,0.0166522708555129,0.0156179345368535,0,0,0.0428637188270017,0.00285970060178047,0,0.0888961418215549,0,0.000296841605319402,0,0.0699199241092603,0.0135426285010773,0.00157842268498006,0.0087719298245614,0.00126355262085269,0.00293848061681134,0.0267097966728281,0.000288208168642951,0.000858433172843653,0.00563720555667405,0.00264730214174097,0.00653910801040731,0.00096052896106507,0.0252113488698793,0.000398883127243718,0.015664970067776,0.00456553318905458,0,0.0158818033978063,0.00335648148148148,0.00399642111541903,0,0,0.030706098768926,0.00157443123671574,0.013986013986014,0.00165010094735207,0.00465374730846704,0.0410783055198973,0.00792223067875182,0.00174923264794218,0.00281857291203086,0.00107871802878474,0,0.00366007852532109,0.00842251670980953,0.00116761805915932,0,0.0602662616154396,0.088043901444224,0.0176627866151727,0.0559715384933604,0.0481626459278164,0,0,0.00778133270134692,0.128451282719953,0,0.00109962612711678,7.51583021739539e-05,0.0210993344836086,0.000410677618069815,0,0.00383635217712986,0.000969562657986772,0.00524077919509542,0.000250858406108402,0.0647921225382932,0.0428762840553819,0.000260552371026576,0,0.00133324217147545,0.000226459531681688,0,0.0306346381969158,0.0312366932295152,0.0676801430790229,0.000722079589216945,0.00773694390715667,0,0.00195394570972351,0,0,0,0.000156323276535876,0.00457694997139406,0.00139903253343451,0.0030779685407631,0.00182503139388866,0.0304165301122087,0,0.00544720402255066,0,0.00168500031792459,0.00034939728967531,0.000235960358659745,0.00484799273995176,0.0292375787045695,0.000448066911325425,0.000355113636363636,0.00572765604816106,0.0170195187441908,0.00176302826030594,0.0105276043579385,0.0168806692609114,0.005896435538216,0.000695306679910603,0,0.0206978610365533,0.000977718314207791,0.00341663879199121,0.000165645188007288,0.018113723936764,0.0123117469879518,0.00288486086290528,0,0.00261980999761835,0,0.0357507660878447,0.0126195431672682,0,0.000126903553299492,0.0101948602089805,0.00394935902540011,0.018408279146442,0.0212579058327477,0.0024494210459346,0.00414868346214326,0.0628124320799826,0.000932159502848265,0.00774795159244403,0.00985055980010571,0,0.00148281285104471,0.0203165374677003,0.000294996128175818,0.0036315822428151,0.0133655748516157,0,0.0431566596949447,0.00277183256727834,0,0.00703206622197219,0.0048952046005418,0,0.00131492439184747,0.00406072509156537,0
"30631300816c69d6b243bf11e1103811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021467289218054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256535548497435,0,0,0,0,0,0,0,0,0,0.00248351223819642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150077054487677,0,0,0,0,0,0,0,0,0,0,0.00331169691349848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108056490928281,0,0,0,0,0,0
"e7133e64b9602a29f3d6d8c2697ff1b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265261247425919,0,0,0,0,0,0,0,0,0,0.00187643146885952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000561074622924849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197495753841292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270573461699456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
