""	"rowname"	"BRU.00001"	"BRU.00002"	"BRU.00003"	"BRU.00004"	"BRU.00005"	"BRU.00006"	"BRU.00007"	"BRU.00008"	"BRU.00009"	"BRU.00010"	"BRU.00011"	"BRU.00012"	"BRU.03709"	"BRU.03713"	"BRU.03722"	"BRU.03733"	"BRU.03746"	"BRU.03762"	"BRU.03775"	"BRU.03780"	"BRU.03787"	"BRU.03792"	"BRU.03804"	"BRU.03813"	"BRU.03815"	"BRU.03819"	"BRU.03822"	"BRU.03824"	"BRU.03839"	"BRU.03853"	"BRU.03856"	"BRU.03860"	"BRU.03861"	"BRU.03867"	"BRU.03871"	"BRU.03878"	"BRU.03881"	"BRU.03886"	"BRU.03895"	"BRU.03899"	"BRU.03904"	"BRU.03907"	"BRU.03916"	"BRU.03932"	"BRU.03936"	"BRU.03937"	"BRU.04003"	"BRU.04004"	"BRU.04006"	"BRU.04008"	"BRU.04013"	"BRU.04034"	"BRU.04035"	"BRU.04036"	"BRU.04044"	"BRU.04045"	"BRU.04049"	"BRU.04050"	"BRU.04056"	"BRU.04057"	"BRU.04058"	"BRU.04061"	"BRU.04064"	"BRU.04065"	"BRU.04071"	"BRU.04075"	"BRU.04077"	"BRU.04079"	"BRU.04082"	"BRU.04088"	"BRU.04090"	"BRU.04092"	"BRU.04093"	"BRU.04095"	"BRU.04098"	"BRU.04102"	"BRU.04113"	"BRU.04114"	"BRU.04119"	"BRU.04121"	"BRU.04133"	"BRU.04137"	"BRU.04146"	"BRU.04150"	"BRU.04151"	"BRU.04153"	"BRU.04341"	"BRU.04348"	"BRU.04351"	"BRU.04353"	"BRU.04357"	"BRU.04364"	"BRU.04372"	"BRU.04377"	"BRU.04381"	"BRU.05218"	"BRU.05228"	"BRU.05229"	"BRU.05231"	"BRU.05232"	"BRU.05235"	"BRU.05236"	"BRU.05237"	"BRU.05241"	"BRU.05243"	"BRU.05246"	"BRU.05249"	"BRU.05251"	"BRU.05256"	"BRU.05258"	"BRU.05264"	"BRU.05270"	"BRU.05271"	"BRU.05272"	"BRU.05327"	"BRU.05336"	"BRU.05341"	"BRU.05343"	"BRU.05344"	"BRU.05349"	"BRU.05352"	"BRU.05355"	"BRU.05361"	"BRU.05364"	"BRU.05377"	"BRU.05379"	"BRU.05382"	"BRU.1000"	"BRU.1006"	"BRU.1017"	"BRU.1018"	"BRU.1022"	"BRU.1028"	"BRU.1031"	"BRU.1032"	"BRU.1036"	"BRU.1037"	"BRU.1039"	"BRU.1040"	"BRU.1042"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1067.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"Mock.DNA"	"POST.01.001.BAL"	"POST.01.003a.BAL"	"POST.01.004a.BAL"	"POST.01.005.BAL"	"POST.01.006.BAL"	"POST.01.007b.BAL"	"POST.01.009.BAL"	"POST.01.010.BAL"	"POST.01.011.BAL"	"POST.01.013a.BAL"	"POST.02.001.BAL"	"POST.02.002.BAL"	"POST.02.003.BAL"	"POST.02.004.BAL"	"POST.02.005.BAL"	"POST.02.006.BAL"	"POST.02.007.BAL"	"POST.02.008.BAL"	"POST.02.009.BAL"	"POST.02.010.BAL"	"POST.02.011.BAL"	"POST.02.012.BAL"	"POST.02.013.BAL"	"POST.03.001.BAL"	"POST.03.002.BAL"	"POST.04.001.BAL"	"POST.04.002.BAL"	"POST.04.003.BAL"	"POST.04.004.BAL"	"POST.04.005.BAL"	"PRO.1019"	"PRO.1031"	"PRO.1035"	"PRO.1037"	"PRO.1038"	"PRO.1040"	"PRO.1041"	"PRO.1042"	"PRO.1044"	"PRO.1047"	"PRO.1049"	"PRO.1050"	"PRO.1053"	"PRO.1054"	"PRO.1055"	"PRO.1056"	"PRO.1057"	"PRO.1059"	"PRO.1061"	"PRO.1067"	"PRO.1068"	"PRO.1069"	"PRO.1070"	"PRO.1071"	"PRO.1073"	"PRO.1075"	"PRO.1077"	"PRO.1079"	"PRO.1080"	"PRO.1081"	"PRO.1082"	"PRO.1084"	"PRO.1085"	"PRO.1088"	"PRO.1091"	"PRO.1099"	"PRO.112"	"PRO.1125"	"PRO.1127"	"PRO.1134"	"PRO.1264"	"PRO.1265"	"PRO.1280"	"PRO.1282"	"PRO.1284"	"PRO.1286"	"PRO.1287"	"PRO.1289"	"PRO.1290"	"PRO.1291"	"PRO.1292"	"PRO.1295"	"PRO.1296"	"PRO.1299"	"PRO.1300"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"f542ba12949ca5b05cc73ead29532c65"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	"Bacteria"	"Bacteroidetes"	"[Saprospirae]"	"[Saprospirales]"	"Chitinophagaceae"	NA	NA
"2"	"8622987ddfa6f1a7d9909f49018cb1f1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Blautia"	NA
"3"	"eeb55bb8bb8c2a0542a39d90eff89907"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Sporichthyaceae"	NA	NA
"4"	"308ef02ccc5dc71986759531b6f4b6ed"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	15	0	0	41	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"	NA
"5"	"f4818b51aac8f0ab06d0c2d15f696213"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"	NA
"6"	"8a82820cc1075421faf42ec4285f23b3"	0	0	9	0	0	29	0	0	0	77	95	159	14	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	85	0	22	7	0	0	0	0	0	0	70	0	0	0	0	0	0	0	7	0	85	0	0	0	0	0	16	0	52	0	258	0	0	0	0	0	0	0	307	0	0	0	0	0	0	16	0	0	0	0	0	0	0	230	0	0	0	0	0	0	53	0	0	0	0	0	10	160	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	114	0	0	0	0	0	0	0	8	53	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	75	0	62	0	47	0	0	0	0	0	0	0	94	0	17	0	21	0	0	0	0	0	0	0	0	51	23	0	65	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	52	297	0	0	0	14	0	238	0	0	0	0	0	39	0	0	0	51	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	146	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	54	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	237	0	9	0	0	0	0	7	0	51	0	0	0	0	0	78	0	0	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"	NA
"7"	"dd93bc698bdb8d4a9caa83e404af4bb5"	74	0	0	19	0	0	0	0	0	1801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	136	105	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	843	135	246	69	0	0	212	0	84	0	0	0	0	496	0	0	0	90	0	0	133	0	53	0	0	0	63	0	0	172	0	0	0	0	0	119	0	0	0	0	0	0	0	0	85	0	0	0	310	0	0	0	0	0	308	0	0	0	156	0	0	0	16	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	31	0	0	0	26	147	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Micrococcus"	"luteus"
"8"	"6af10ea5c29e3cb23de0f460c78a2163"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA
"9"	"3f0a5cd9b3240dfaca7af3e86ae24ad2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	27	0	0	0	0	0	0	62	0	0	144	0	18	0	0	0	0	0	0	150	0	46	0	0	0	62	3	0	0	12	0	44	0	41	18	0	10	13	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	48	0	0	0	0	0	0	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA
"10"	"eead1e60941d4ae4ef8d3310fe08a67b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	16	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	NA	NA
