"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"7cda9107576dcf900c495f42350bbcb0","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"6046915cd4ef8792461b808c4ae8867c","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"871fcc3c84b0af8daad8418bebe9534c","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"27213bf503a6322cd009da0f1bada6e3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"4ec1c301887b8b20b79a26abcd043a0e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"00195669516a08d7c151fad1ecadf78f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"e83781c7f4cfbd3cdd2c51a3dfe855b6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"ec62f5ab04d9c4ebc9aa3850f7e776c5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"30631300816c69d6b243bf11e1103811","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nanceiensis"
"e7133e64b9602a29f3d6d8c2697ff1b7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nanceiensis"
"1adea9b1bb63f9427f968c07d16b68af","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"6a968c9c1d51fbb339945684b8fc4fda","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"edc59fc8d6e71d173af8c94394316e3b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"992bb4dd564946ed5e530eedaa1de850","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nigrescens"
"c12f7d5b458e5168aa80a93a042f11c3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"bc9f7769fb1f70e0ea0f68fbef1dc759","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"69b14564c75c00ca4246ba6119112e42","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"d2e384899f80cca5ef1896eab0c862ee","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"6c91b03edc155703d03eca97c5a2597b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"321927f55e906812db482996bb9e4b87","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"1253bd7e004b4086384f3c5ca3f215d1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"040b1ab5b026b8b7c77744cb29c6ca7b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"26344b5dadd610ae4596029636b44115","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"618cdf643373b4aa1d47f979105040bd","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"becea996974311b4673244335e8f1e55","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"aadd35c43de40c0c25697d4b0cc79b39","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"ae37fb673fb3de827ae805640ea6c6d6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"b16fa23880b57907e329b82ddd9bec42","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"075bfaca9ceb9aa9e78b2dfb0a15fb5e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"1c2deca5f948e8ad5ecb3e3f78c82db1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"53ea724eca825cc02252cef3e37d6571","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"f14b487bd983ad660f1b52b9e5db5b60","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"298f48f30781cb93e01f2ba897d25519","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"dc62e0e12766c2355abf2ffaddcbbebd","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"fea8cf3b063370a298f04846d3f92f0b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"9ec9d63f3db8acc875f7665cf063f3b6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"f3389b554fa53e0c16a261d364470eae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"74ef8e1bcfb58766fdaad9b0a9181d2b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"7b46a3d2ffd5941d13ba4132509059fa","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
