""	"BRU.00001"	"BRU.00002"	"BRU.00003"	"BRU.00004"	"BRU.00005"	"BRU.00006"	"BRU.00007"	"BRU.00008"	"BRU.00009"	"BRU.00010"	"BRU.00011"	"BRU.00012"	"BRU.03709"	"BRU.03713"	"BRU.03722"	"BRU.03733"	"BRU.03746"	"BRU.03762"	"BRU.03775"	"BRU.03780"	"BRU.03787"	"BRU.03792"	"BRU.03804"	"BRU.03813"	"BRU.03815"	"BRU.03819"	"BRU.03822"	"BRU.03824"	"BRU.03839"	"BRU.03853"	"BRU.03856"	"BRU.03860"	"BRU.03861"	"BRU.03867"	"BRU.03871"	"BRU.03878"	"BRU.03881"	"BRU.03886"	"BRU.03895"	"BRU.03899"	"BRU.03904"	"BRU.03907"	"BRU.03916"	"BRU.03932"	"BRU.03936"	"BRU.03937"	"BRU.04003"	"BRU.04004"	"BRU.04006"	"BRU.04008"	"BRU.04013"	"BRU.04034"	"BRU.04035"	"BRU.04036"	"BRU.04044"	"BRU.04045"	"BRU.04049"	"BRU.04050"	"BRU.04056"	"BRU.04057"	"BRU.04058"	"BRU.04061"	"BRU.04064"	"BRU.04065"	"BRU.04071"	"BRU.04075"	"BRU.04077"	"BRU.04079"	"BRU.04082"	"BRU.04088"	"BRU.04090"	"BRU.04092"	"BRU.04093"	"BRU.04095"	"BRU.04098"	"BRU.04102"	"BRU.04113"	"BRU.04114"	"BRU.04119"	"BRU.04121"	"BRU.04133"	"BRU.04137"	"BRU.04146"	"BRU.04150"	"BRU.04151"	"BRU.04153"	"BRU.04341"	"BRU.04348"	"BRU.04351"	"BRU.04353"	"BRU.04357"	"BRU.04364"	"BRU.04372"	"BRU.04377"	"BRU.04381"	"BRU.05218"	"BRU.05228"	"BRU.05229"	"BRU.05231"	"BRU.05232"	"BRU.05235"	"BRU.05236"	"BRU.05237"	"BRU.05241"	"BRU.05243"	"BRU.05246"	"BRU.05249"	"BRU.05251"	"BRU.05256"	"BRU.05258"	"BRU.05264"	"BRU.05270"	"BRU.05271"	"BRU.05272"	"BRU.05327"	"BRU.05336"	"BRU.05341"	"BRU.05343"	"BRU.05344"	"BRU.05349"	"BRU.05352"	"BRU.05355"	"BRU.05361"	"BRU.05364"	"BRU.05377"	"BRU.05379"	"BRU.05382"	"BRU.1000"	"BRU.1006"	"BRU.1017"	"BRU.1018"	"BRU.1022"	"BRU.1028"	"BRU.1031"	"BRU.1032"	"BRU.1036"	"BRU.1037"	"BRU.1039"	"BRU.1040"	"BRU.1042"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1067.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"Mock.DNA"	"POST.01.001.BAL"	"POST.01.003a.BAL"	"POST.01.004a.BAL"	"POST.01.005.BAL"	"POST.01.006.BAL"	"POST.01.007b.BAL"	"POST.01.009.BAL"	"POST.01.010.BAL"	"POST.01.011.BAL"	"POST.01.013a.BAL"	"POST.02.001.BAL"	"POST.02.002.BAL"	"POST.02.003.BAL"	"POST.02.004.BAL"	"POST.02.005.BAL"	"POST.02.006.BAL"	"POST.02.007.BAL"	"POST.02.008.BAL"	"POST.02.009.BAL"	"POST.02.010.BAL"	"POST.02.011.BAL"	"POST.02.012.BAL"	"POST.02.013.BAL"	"POST.03.001.BAL"	"POST.03.002.BAL"	"POST.04.001.BAL"	"POST.04.002.BAL"	"POST.04.003.BAL"	"POST.04.004.BAL"	"POST.04.005.BAL"	"PRO.1019"	"PRO.1031"	"PRO.1035"	"PRO.1037"	"PRO.1038"	"PRO.1040"	"PRO.1041"	"PRO.1042"	"PRO.1044"	"PRO.1047"	"PRO.1049"	"PRO.1050"	"PRO.1053"	"PRO.1054"	"PRO.1055"	"PRO.1056"	"PRO.1057"	"PRO.1059"	"PRO.1061"	"PRO.1067"	"PRO.1068"	"PRO.1069"	"PRO.1070"	"PRO.1071"	"PRO.1073"	"PRO.1075"	"PRO.1077"	"PRO.1079"	"PRO.1080"	"PRO.1081"	"PRO.1082"	"PRO.1084"	"PRO.1085"	"PRO.1088"	"PRO.1091"	"PRO.1099"	"PRO.112"	"PRO.1125"	"PRO.1127"	"PRO.1134"	"PRO.1264"	"PRO.1265"	"PRO.1280"	"PRO.1282"	"PRO.1284"	"PRO.1286"	"PRO.1287"	"PRO.1289"	"PRO.1290"	"PRO.1291"	"PRO.1292"	"PRO.1295"	"PRO.1296"	"PRO.1299"	"PRO.1300"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"
"Deinococci"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168115942028986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0500367917586461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00359971202303816	0	0	0	0	0.00664451827242525	0	0	0	0	0	0	0	0	0.0102321920503739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinobacteria"	0.578778135048232	0	0.201492537313433	0.502994011976048	0.418604651162791	0.489655172413793	0.291784702549575	0.44015444015444	0.466666666666667	0.428873611845584	0.441952506596306	0.528676470588235	0.312734082397004	0.203943661971831	0.335766423357664	0.296296296296296	0.0518867924528302	0.162046908315565	0.400900900900901	0.144097222222222	0.154515778019587	0	0.0410958904109589	0.19672131147541	0.082089552238806	0.040590405904059	0.0210843373493976	0.30379746835443	0.0112936344969199	0.350597609561753	0.0981366459627329	0.292573143285821	0.142414860681115	0.00195160031225605	0.0284552845528455	0.578544061302682	0.103279832519191	0.010989010989011	0.382978723404255	0.144112478031634	0.0602836879432624	0.360275150472915	0.0860597439544808	0.047438330170778	0.342728297632469	0.127906976744186	0	0.0753926701570681	0.008837525492862	0.327615780445969	0.232142857142857	0	1	0.0957446808510638	0.0143135979180221	0.22183908045977	0.0384615384615385	0.144072948328268	0.0524769101595298	0.164233576642336	0	0.192043895747599	0	0.235294117647059	0.0327868852459016	0.158536585365854	0	0.498694516971279	0.0124455507156192	0.0922330097087379	0.0676855895196506	0.00754147812971342	0.100961538461538	0.0669014084507042	0.0623486682808717	0.235627530364372	0.138698630136986	0.0145726664040961	0.0587960802613159	0	0.0224913494809689	0.0112359550561798	0.367822966507177	0.0137236962488564	0.145025295109612	0.00544323483670296	0.0125477359519913	0.101973684210526	0.254819782062028	0.241469816272966	0.042157751586582	0.0953932061423918	0.455882352941177	0.601626016260163	0	0.0516206482593037	0.172366621067031	0.15338553661907	0.0951859956236324	0.033044420368364	0.0260336906584992	0.0614911606456572	0	0.0303030303030303	0.0956072351421189	0.0685096153846154	0.03202416918429	0.547826086956522	0.203330411919369	0.0652446675031368	0.067435669920142	0	0.153206069505629	0.0357815442561205	0.166783461807989	0.0110599078341014	0.0847058823529412	0	0.0735294117647059	0.34375	0.180851063829787	0.480865224625624	0.388621022179364	0.617977528089888	0.753731343283582	0.0763888888888889	0.0837887067395264	0.183869082407949	0	0.055045871559633	0.278745644599303	0.110236220472441	0.0967741935483871	0.284653465346535	0.34402332361516	0.0616966580976864	0.877777777777778	0.536	0.464150943396226	0.0318725099601594	0	0	0.293233082706767	0.199375557537913	0.122943722943723	0.175523349436393	0.127118644067797	0.342935528120713	0.0202095808383234	0	0.497524752475248	0	0	0.0555555555555556	0.112315270935961	0.446284691136974	0	0.031304347826087	0.0452830188679245	0.0958230958230958	0.0425055928411633	0.059447983014862	0	0	0	0	0.0292338709677419	0	0.149668874172185	0.0365044247787611	0	0.110356536502547	0	0	0.258409785932722	0	0	0.152592592592593	0.100346020761246	0	0.0933521923620934	0.0378486055776892	0.00507185122569738	0.0503067484662577	0.146341463414634	0.0403225806451613	0.0493009565857248	0	0.0937231298366294	0.130081300813008	0.634755463059313	0	0.29620253164557	0.58695652173913	0.642241379310345	0.00984251968503937	0.296387520525452	0	0.0148936170212766	0.0741839762611276	0.270391779062299	0.262419006479482	0.0857938718662953	0	0.0477272727272727	0.0862676056338028	0.0786267995570321	0.121760592348828	0.0923520923520924	0.046448087431694	0.220447284345048	0	0	0	0.254794520547945	0.0700511609602519	0.189320388349515	0.032258064516129	0	0.0757180156657963	0.241061130334487	0.857142857142857	0.0779816513761468	0.018970189701897	0.0426829268292683	0.132564841498559	0	0.692307692307692	0.387596899224806	0.258278145695364	0.126139817629179	0.0625	0	0.208	1	0.0224299065420561	0.208163265306122	0.638743455497382	0	0.161764705882353	0.134615384615385	0.181818181818182	0.194078947368421	0.473684210526316	0	0	0.00795053003533569	0.0402985074626866	0.201260911736178	0.233851674641148	0.541176470588235	0.0504201680672269	0	0.162790697674419	0	0.283783783783784	0.0875	0.167808219178082	0.295269168026101	0.329004329004329	0	0	0.309234073013601	0.179831932773109	0	0.288012872083669	0	0.197701149425287	0.821828358208955	0	0.152526215443279	0	0.0325670498084291	0	0.125252525252525	0.105990783410138	0.109149277688604	0.00966542750929368	0.0643245917862444	0.0901554404145078	0.180512820512821	0.22636815920398	0.04
"Coriobacteriia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032441200324412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0205709487825357	0	0	0	0	0	0	0	0	0	0.00622277535780958	0	0	0	0	0	0.0127118644067797	0	0	0	0	0	0.0173010380622837	0	0	0	0	0	0	0	0	0	0.00226654578422484	0	0	0	0	0	0	0	0	0	0.00535987748851455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0196629213483146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00802139037433155	0	0	0	0	0	0	0.0184049079754601	0	0	0.0456217807211185	0	0	0	0	0	0	0	0	0	0	0.00899550224887556	0.334042553191489	0	0	0	0	0	0.329545454545455	0	0	0	0	0.0382513661202186	0.0702875399361022	0.0766283524904215	0	0	0	0.0216450216450216	0	0	0.164705882352941	0	0	0	0	0	0	0	0	0	0.0103359173126615	0	0	0	0	0	0	0	0	0	0.016969696969697	0	0	0	0	0	0	0	0	0	0.0147914645974782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0080450522928399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rubrobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188003581020591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Thermoleophilia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173951828724353	0	0	0	0.0212620027434842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Rhodothermi]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203915171288744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Saprospirae]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616776315789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221674876847291	0.013876454789615	0	0.376811594202899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122349102773246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0912820512820513	0	0
"Bacteroidia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21654501216545	0	0	0.123667377398721	0.135135135135135	0.269097222222222	0.0326441784548422	0	0.0273972602739726	0	0	0.321560358460727	0.450301204819277	0	0.112936344969199	0	0	0.04576144036009	0.0402476780185759	0.424668227946916	0.221544715447154	0	0	0	0.152482269503546	0.0896309314586995	0.0732860520094563	0	0.164295874822191	0	0.0146561443066516	0.116279069767442	0	0.122513089005236	0.255608429639701	0.164665523156089	0.397321428571429	0.922196796338673	0	0	0.44925178919974	0	0.125	0	0.0994962216624685	0	0	0.208230452674897	0	0	0.353551912568306	0.451219512195122	0.148619957537155	0	0.240821406347231	0	0.220524017467249	0.757164404223228	0.144230769230769	0	0.657990314769976	0.0137651821862348	0.188356164383562	0.0638046474990154	0	0.377870563674321	0.00865051903114187	0	0.0870215311004785	0	0	0.0622083981337481	0	0.046875	0	0	0.329555757026292	0.0902745463006049	0	0	0	0	0.0711354309165527	0.18562874251497	0.0508752735229759	0.182556879739978	0.451761102603369	0.492697924673328	0	0	0.020671834625323	0.155048076923077	0.181268882175227	0	0.176161262050833	0	0.125998225377107	0.445070422535211	0.320117474302496	0.250470809792844	0.266993693062369	0	0.0470588235294118	0	0	0.1796875	0.167553191489362	0.151414309484193	0	0.179775280898876	0	0	0.205828779599271	0.0356516656925774	0	0.0611620795107034	0.024390243902439	0.181102362204724	0	0.561881188118812	0	0.012853470437018	0.0925925925925926	0	0.0471698113207547	0.0438247011952191	0	0	0	0	0	0	0	0	0	0	0	0.162109375	0	0	0.0423645320197044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.462538226299694	0.0197802197802198	0.0213903743315508	0.268148148148148	0.0738177623990773	0	0	0.0697211155378486	0	0.197546012269939	0.263414634146341	0.172043010752688	0	0.40814479638009	0	0	0	0.0807799442896936	0	0	0.0301724137931034	0	0.0164203612479475	0.308845577211394	0.272340425531915	0.602373887240356	0.0912010276172126	0.0485961123110151	0	0.585227272727273	0	0	0	0.011517893870835	0.304473304473304	0.0437158469945355	0.230031948881789	0.298850574712644	0	0.018957345971564	0.10958904109589	0.0310901219992129	0	0.0460829493087558	0.576470588235294	0.35509138381201	0.245674740484429	0	0.119266055045872	0.0487804878048781	0	0.867435158501441	0.156363636363636	0	0.0923772609819122	0	0.0600303951367781	0.241071428571429	0	0.197333333333333	0	0	0	0	0.424242424242424	0	0.41025641025641	0.246753246753247	0	0.0723684210526316	0.052863436123348	0.666666666666667	0.0547703180212014	0.0388059701492537	0.234481086323957	0	0	0	0.232142857142857	0.310077519379845	0	0	0.445833333333333	0	0.0285481239804241	0	0.428571428571429	0.029045643153527	0.0536864710093057	0	0.121145374449339	0.498793242156074	0.0784671532846715	0.0850574712643678	0	0	0.648236415633937	0	0.756704980842912	0	0	0	0	0	0	0	0	0	0
"Cytophagia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0177304964539007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0816235504014273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120676968359088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1875	0	0	0	0	0	0.0237633365664403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Flavobacteriia"	0	1	0.164179104477612	0	0	0	0.0212464589235127	0	0	0.0142781597038604	0	0	0	0.0445070422535211	0	0	0	0	0	0	0	0	0.0091324200913242	0	0	0.00738007380073801	0	0	0	0	0	0	0	0.00351288056206089	0	0	0	0	0	0	0	0	0	0.0246679316888046	0	0	0	0	0	0	0.00892857142857143	0	0	0	0	0	0.0625	0	0	0	0.00568990042674253	0.0178326474622771	0	0	0	0	0	0	0	0	0	0	0	0	0.0272397094430993	0.0210526315789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102040816326531	0.00866393068855449	0	0	0	0	0.0438124519600307	0	0	0	0	0	0.0469565217391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0221793635486982	0	0	0	0	0.00642898889538282	0	0	0	0	0	0	0	0	0	0	0	0.215139442231076	0	0	0	0.0370205173951829	0	0	0	0.0123456790123457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159274193548387	0	0	0	0	0.0543293718166384	0	0.19538188277087	0	0	0	0.0207407407407407	0.0876585928489043	0.108294930875576	0	0	0	0	0	0	0	0	0	0	0.00242802636142907	0	0	0	0.0100574712643678	0	0	0	0	0	0.0526653821451509	0.127429805615551	0	0	0	0	0	0	0.00577200577200577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310378273520854	0	0	0	0	0	0	0.0405405405405405	0	0	0	0	0.26984126984127	0	0.0357909806728704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461538461538462	0.0472636815920398	0
