""	"BRU.00001"	"BRU.00002"	"BRU.00003"	"BRU.00004"	"BRU.00005"	"BRU.00006"	"BRU.00007"	"BRU.00008"	"BRU.00009"	"BRU.00010"	"BRU.00011"	"BRU.00012"	"BRU.03709"	"BRU.03713"	"BRU.03722"	"BRU.03733"	"BRU.03746"	"BRU.03762"	"BRU.03775"	"BRU.03780"	"BRU.03787"	"BRU.03792"	"BRU.03804"	"BRU.03813"	"BRU.03815"	"BRU.03819"	"BRU.03822"	"BRU.03824"	"BRU.03839"	"BRU.03853"	"BRU.03856"	"BRU.03860"	"BRU.03861"	"BRU.03867"	"BRU.03871"	"BRU.03878"	"BRU.03881"	"BRU.03886"	"BRU.03895"	"BRU.03899"	"BRU.03904"	"BRU.03907"	"BRU.03916"	"BRU.03932"	"BRU.03936"	"BRU.03937"	"BRU.04003"	"BRU.04004"	"BRU.04006"	"BRU.04008"	"BRU.04013"	"BRU.04034"	"BRU.04035"	"BRU.04036"	"BRU.04044"	"BRU.04045"	"BRU.04049"	"BRU.04050"	"BRU.04056"	"BRU.04057"	"BRU.04058"	"BRU.04061"	"BRU.04064"	"BRU.04065"	"BRU.04071"	"BRU.04075"	"BRU.04077"	"BRU.04079"	"BRU.04082"	"BRU.04088"	"BRU.04090"	"BRU.04092"	"BRU.04093"	"BRU.04095"	"BRU.04098"	"BRU.04102"	"BRU.04113"	"BRU.04114"	"BRU.04119"	"BRU.04121"	"BRU.04133"	"BRU.04137"	"BRU.04146"	"BRU.04150"	"BRU.04151"	"BRU.04153"	"BRU.04341"	"BRU.04348"	"BRU.04351"	"BRU.04353"	"BRU.04357"	"BRU.04364"	"BRU.04372"	"BRU.04377"	"BRU.04381"	"BRU.05218"	"BRU.05228"	"BRU.05229"	"BRU.05231"	"BRU.05232"	"BRU.05235"	"BRU.05236"	"BRU.05237"	"BRU.05241"	"BRU.05243"	"BRU.05246"	"BRU.05249"	"BRU.05251"	"BRU.05256"	"BRU.05258"	"BRU.05264"	"BRU.05270"	"BRU.05271"	"BRU.05272"	"BRU.05327"	"BRU.05336"	"BRU.05341"	"BRU.05343"	"BRU.05344"	"BRU.05349"	"BRU.05352"	"BRU.05355"	"BRU.05361"	"BRU.05364"	"BRU.05377"	"BRU.05379"	"BRU.05382"	"BRU.1000"	"BRU.1006"	"BRU.1017"	"BRU.1018"	"BRU.1022"	"BRU.1028"	"BRU.1031"	"BRU.1032"	"BRU.1036"	"BRU.1037"	"BRU.1039"	"BRU.1040"	"BRU.1042"	"FL.CON1062.BAL.FlushControl"	"FL.CON1063.BAL.FlushControl"	"FL.CON1064.BAL.FlushControl"	"FL.CON1065.BAL.FlushControl"	"FL.CON1066.BAL.FlushControl"	"FL.CON1067.BAL.FlushControl"	"FL.CON1068.BAL.FlushControl"	"FL.CON1069.BAL.FlushControl"	"FL.CON1070.BAL.FlushControl"	"FL.CON1071.BAL.FlushControl"	"FL.CON1072.BAL.FlushControl"	"FL.CON1073.BAL.FlushControl"	"FL.CON1074.BAL.FlushControl"	"FL.CON1076.BAL.FlushControl"	"FL.POST.01.004.BAL.FlushControl"	"FL.POST.01.005.BAL.FlushControl"	"FL.POST.01.006.BAL.FlushControl"	"FL.POST.01.007.BAL.FlushControl"	"FL.POST.01.010.BAL.FlushControl"	"FL.POST.01.011.BAL.FlushControl"	"FL.POST.01.013.BAL.FlushControl"	"FL.POST.02.002.BAL.FlushControl"	"FL.POST.02.003.BAL.FlushControl"	"FL.POST.02.004.BAL.FlushControl"	"FL.POST.02.005.BAL.FlushControl"	"FL.POST.02.006.BAL.FlushControl"	"FL.POST.02.007.BAL.FlushControl"	"FL.POST.02.008.BAL.FlushControl"	"FL.POST.02.009.BAL.FlushControl"	"FL.POST.02.010.BAL.FlushControl"	"FL.POST.02.011.BAL.FlushControl"	"FL.POST.02.012.BAL.FlushControl"	"FL.POST.02.013.BAL.FlushControl"	"FL.POST.03.002.BAL.FlushControl"	"ILDCON1062.BAL"	"ILDCON1063.BAL"	"ILDCON1064.BAL"	"ILDCON1065.BAL"	"ILDCON1066.BAL"	"ILDCON1067.BAL"	"ILDCON1068.BAL"	"ILDCON1070.BAL"	"ILDCON1071.BAL"	"ILDCON1072.BAL"	"ILDCON1073.BAL"	"ILDCON1074.BAL"	"ILDCON1076.BAL"	"Mock.DNA"	"POST.01.001.BAL"	"POST.01.003a.BAL"	"POST.01.004a.BAL"	"POST.01.005.BAL"	"POST.01.006.BAL"	"POST.01.007b.BAL"	"POST.01.009.BAL"	"POST.01.010.BAL"	"POST.01.011.BAL"	"POST.01.013a.BAL"	"POST.02.001.BAL"	"POST.02.002.BAL"	"POST.02.003.BAL"	"POST.02.004.BAL"	"POST.02.005.BAL"	"POST.02.006.BAL"	"POST.02.007.BAL"	"POST.02.008.BAL"	"POST.02.009.BAL"	"POST.02.010.BAL"	"POST.02.011.BAL"	"POST.02.012.BAL"	"POST.02.013.BAL"	"POST.03.001.BAL"	"POST.03.002.BAL"	"POST.04.001.BAL"	"POST.04.002.BAL"	"POST.04.003.BAL"	"POST.04.004.BAL"	"POST.04.005.BAL"	"PRO.1019"	"PRO.1031"	"PRO.1035"	"PRO.1037"	"PRO.1038"	"PRO.1040"	"PRO.1041"	"PRO.1042"	"PRO.1044"	"PRO.1047"	"PRO.1049"	"PRO.1050"	"PRO.1053"	"PRO.1054"	"PRO.1055"	"PRO.1056"	"PRO.1057"	"PRO.1059"	"PRO.1061"	"PRO.1067"	"PRO.1068"	"PRO.1069"	"PRO.1070"	"PRO.1071"	"PRO.1073"	"PRO.1075"	"PRO.1077"	"PRO.1079"	"PRO.1080"	"PRO.1081"	"PRO.1082"	"PRO.1084"	"PRO.1085"	"PRO.1088"	"PRO.1091"	"PRO.1099"	"PRO.112"	"PRO.1125"	"PRO.1127"	"PRO.1134"	"PRO.1264"	"PRO.1265"	"PRO.1280"	"PRO.1282"	"PRO.1284"	"PRO.1286"	"PRO.1287"	"PRO.1289"	"PRO.1290"	"PRO.1291"	"PRO.1292"	"PRO.1295"	"PRO.1296"	"PRO.1299"	"PRO.1300"	"RC1.ReagentControl"	"RC10.ReagentControl"	"RC2.ReagentControl"	"RC3.ReagentControl"	"RC4.ReagentControl"	"RC5.ReagentControl"	"RC6.ReagentControl"	"RC7.ReagentControl"	"RC8.ReagentControl"	"RC9.ReagentControl"
"Truepera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168115942028986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0500367917586461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00359971202303816	0	0	0	0	0.00664451827242525	0	0	0	0	0	0	0	0	0.0102321920503739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinomyces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129014084507042	0.274939172749392	0	0	0	0	0	0.131664853101197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120910384068279	0	0.165727170236753	0	0	0	0	0	0.103316326530612	0	0	0	0	0.203448275862069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015625	0	0	0	0	0	0.292682926829268	0	0	0	0.15338553661907	0	0	0	0	0	0	0.0956072351421189	0	0	0	0.111305872042068	0	0	0	0	0	0	0	0	0	0.0735294117647059	0	0	0	0	0.432584269662921	0	0	0	0.0107539450613676	0	0.0336391437308868	0	0	0	0	0	0	0.42962962962963	0	0.347169811320755	0	0	0	0	0	0	0.0177133655394525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101681957186544	0	0	0	0	0	0	0	0	0.0429447852760736	0.0658536585365854	0	0	0	0	0	0	0	0	0.58695652173913	0.195402298850575	0	0	0	0	0	0.136801541425819	0.251619870410367	0	0	0	0	0	0.0341423282599753	0.0346320346320346	0	0	0	0	0	0	0	0	0	0	0	0.0841983852364475	0.247619047619048	0	0	0	0	0	0	0	0	0	0	0	0	0.733333333333333	0	0	0	0	0.0980392156862745	0	0	0	0	0	0	0	0	0.0375848690591659	0	0	0	0	0	0	0	0.0541666666666667	0	0.0358890701468189	0	0	0	0	0.179831932773109	0	0	0	0.0482758620689655	0.769589552238806	0	0	0	0	0	0	0	0	0	0	0.0632124352331606	0	0	0
"N09"	0	0	0	0	0	0	0	0	0	0	0	0	0.00936329588014981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0539336961900049	0	0	0	0
"Varibaculum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142535633908477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00538423886441508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Brevibacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372340425531915	0	0.0118203309692671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168269230769231	0	0.0817391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798668885191348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0456140350877193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319410319410319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0959070412764481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025974025974026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corynebacterium"	0	0	0.0671641791044776	0	0.186046511627907	0.2	0.018413597733711	0	0	0.102062400846113	0.062664907651715	0.116911764705882	0.135767790262172	0	0.0421735604217356	0	0	0.0959488272921109	0.0495495495495495	0.0451388888888889	0.0228509249183896	0	0.030658838878017	0	0	0.00843437005798629	0	0	0	0.207171314741036	0	0.126781695423856	0.0294117647058824	0.00195160031225605	0.0284552845528455	0	0.0230286113049546	0.010989010989011	0.141843971631206	0.086115992970123	0	0.0868443680137575	0.0177809388335704	0.0132827324478178	0.125140924464487	0.022609819121447	0	0.0146596858638743	0	0.145797598627787	0.0127551020408163	0	0.137254901960784	0	0.0143135979180221	0.0183908045977011	0.0384615384615385	0.0978723404255319	0.0130142737195634	0.0941605839416058	0	0.149794238683128	0	0	0.0185792349726776	0	0	0.43733681462141	0.0124455507156192	0.0359223300970874	0.00873362445414847	0.00754147812971342	0.0384615384615385	0	0.0351089588377724	0.235627530364372	0	0.00905868452146514	0.029398040130658	0	0.0121107266435986	0.0065050266114725	0.11244019138756	0.0137236962488564	0.104553119730185	0	0	0	0.0340877340039117	0.139107611548556	0.0113327289211242	0	0.161764705882353	0.130081300813008	0	0.0336134453781513	0.155038759689922	0	0	0.0124593716143012	0.0153139356814701	0	0	0.0303030303030303	0	0.0288461538461538	0	0.360869565217391	0.0525854513584575	0	0.0115350488021295	0	0.0558002936857562	0.013653483992467	0.154870357393132	0.0110599078341014	0.0141176470588235	0	0	0.1953125	0.0212765957446809	0.249584026622296	0.249758919961427	0.109550561797753	0.432835820895522	0	0.0491803278688525	0.0626534190531853	0	0.0214067278287462	0.149825783972125	0.047244094488189	0.0967741935483871	0	0	0.0154241645244216	0.392592592592593	0.344	0	0.0318725099601594	0	0	0.162907268170426	0.104817127564674	0.0536796536796537	0.0797101449275362	0.127118644067797	0.342935528120713	0.0202095808383234	0	0.393564356435644	0	0	0	0.0551724137931034	0.337958818263205	0	0.00985507246376812	0	0.0540540540540541	0.0425055928411633	0.059447983014862	0	0	0	0	0.0292338709677419	0	0.0675496688741722	0.0254424778761062	0	0.110356536502547	0	0	0.120795107033639	0	0	0.106666666666667	0.0472895040369089	0	0.0127298444130127	0	0.00507185122569738	0	0.0317073170731707	0	0.036055923473142	0	0.0705073086844368	0.130081300813008	0.34460631286854	0	0	0	0.0747126436781609	0.00984251968503937	0.25615763546798	0	0	0.00445103857566766	0.00834938985228003	0	0.0729805013927577	0	0	0	0.0786267995570321	0.0300287947346771	0	0.0382513661202186	0.166134185303514	0	0	0	0.173972602739726	0.0145611963793782	0.189320388349515	0.032258064516129	0	0.0443864229765013	0.0392156862745098	0.238095238095238	0	0.018970189701897	0.0426829268292683	0.0662824207492795	0	0.358974358974359	0.348837209302326	0.193377483443709	0	0.0625	0	0.0333333333333333	0	0.0121495327102804	0.0775510204081633	0	0	0.0416666666666667	0	0.171886936592819	0	0.138157894736842	0	0	0.00795053003533569	0	0.0919010669253152	0.0819377990430622	0	0.0504201680672269	0	0.162790697674419	0	0.0337837837837838	0.0333333333333333	0	0.131321370309951	0	0	0	0.0207587687902649	0	0	0.288012872083669	0	0.0666666666666667	0.00466417910447761	0	0.0543374642516683	0	0.0134099616858238	0	0.125252525252525	0.105990783410138	0	0	0.0103908955962395	0	0.16	0.22636815920398	0
"Brachybacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0490140845070423	0	0	0	0	0	0.0138888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103806228373702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00338983050847458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169491525423729	0	0.036231884057971	0	0	0	0	0	0	0	0	0	0.031781557743957	0	0	0	0	0	0	0	0	0	0	0	0	0.0821192052980132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00684181718664477	0	0	0	0.00963391136801541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dietzia"	0	0	0	0	0	0	0	0	0	0.0179799048122686	0	0	0	0.0152112676056338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0611702127659574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0110619469026549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00277488727020465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189969604863222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gordonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026857654431513	0	0	0	0.00982800982800983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241068331599029	0	0	0	0	0	0.0123152709359606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Janibacter"	0	0	0	0	0	0.137931034482759	0	0	0	0.14595452141724	0.0349604221635884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0677290836653386	0	0	0	0	0	0	0	0	0	0	0.0118203309692671	0.0515907136715391	0	0	0	0	0	0	0	0.0445969125214408	0	0	0	0.0957446808510638	0	0	0	0	0	0	0	0.035116598079561	0	0.105882352941176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068241469816273	0	0	0	0	0	0	0	0	0.0191466083150985	0	0	0	0	0	0	0	0	0	0.0175284837861525	0	0	0	0.0117474302496329	0	0	0	0	0	0	0	0	0.0698835274542429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0254237288135593	0	0.0418679549114332	0	0	0	0	0.103960396039604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00848656294200849	0	0	0	0	0	0.0132450331125828	0	0	0	0.0882761012833854	0	0	0	0	0	0	0	0	0	0	0	0.0128133704735376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036734693877551	0.0471204188481675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158783783783784	0	0	0.0252854812398042	0	0	0	0.031496062992126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00966542750929368	0	0	0	0	0
