"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"7a82775bdeb3109605f729905a784255","Bacteria","Bacteroidetes","[Rhodothermi]","[Rhodothermales]","Rhodothermaceae","Rubricoccus",NA
"74eb86c95d8c389c6706639357e375d8","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"fa338bd6ec6718e39c213efa4bc3b605","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"92926c6adcfd174cb58c7145a5413f63","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"e72ded3bc90c7b6a75ba78062e01a798","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"5e1edeb7fe85914a0fca00dd690a001b","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA
"8ea5e130a20b4519aa0cbf9fdfeffd9a","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA
"d3374d40d32a21736861e7db1cc1dc77","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Hymenobacter",NA
"5dbda0dd023af6902b35a625dd71169a","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA
"45fd0adee96a1e7081b39e2aa615368e","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter",NA
"80ef3ebcc8182360da3369dfa95a89d8","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","mizutaii"
"5104eaab00e18e9b1a835c87e115c00c","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","mizutaii"
"f4904b552d533f8fc4ce6707638790e9","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"cc46e96c48fe29b223137e8a8e5baeea","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium",NA
"102adec1a05d8f2be15e62ed6902edb7","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium",NA
"609eb27519b8af274a7ba7fa66a7bbaa","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium",NA
"7700920039120eacc14ed2ee175ee3cf","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Cloacibacterium",NA
"aaa8a2e2ee7d13c6ed0703f1600f3112","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"b9e064f4f765fe84ab7d82127a52a12c","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"e3b61a854270250a0691c77cdbb77bb2","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga",NA
"2b687f6f2beab59adecb57a180b4bd0b","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"f749d05a83c102ad84b64e52e93f810d","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"e49e3dae47faeb85db7655d53ae5e871","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"fb8b268b0613585f50415cd61faaa7bc","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","ochracea"
"cd1071ec9e0fc6a2437ce43d2b8e0c21","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"bd400855df5d4c537bf162dfff175cbb","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"370e245ddc172931a5ea3d0cb2e00745","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"7909b5fcba93ee1d659b34475e65bdef","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"fd03a5767211b5e1d38980b124c17606","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"da39034b628aa64445087d271343019f","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA
"520769c7cc98ae3dc483f00cad789e4c","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA
"2a78bc652804a356ce0f5f0ad9eeb513","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA
"9a548cd5cffd8a83cc01a2e4f1e89496","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Chryseobacterium",NA
"507bc129789c45a88b1b7cd4a0731ca9","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA
"ed500de5a57cb47d0165ffc148c8a120","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA
"eff25992cf2e6ca3c4abba031234a3af","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae","Flavisolibacter",NA
"f542ba12949ca5b05cc73ead29532c65","Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA
"4ec1c301887b8b20b79a26abcd043a0e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"e9dae620c8f78917886927f61188d474","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"8c84044f7731895fccb03682428431fb","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"cb42f11bb8453e96bc210168eae1e729","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"afd9f5e15c320dd4261988db109af10f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","S24-7",NA,NA
"c8ffa1f3679847491c1b8bceb0a51925","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"a9410263b74ecc6301707456a65b7563","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"30631300816c69d6b243bf11e1103811","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nanceiensis"
"903590dea323f970ec6c0afd6e8c1b19","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"92f1fa69ff17a15378c314bb8e7b13e9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"308d382bb7905a8eaac4d498f8e18330","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"824b5c592fee41164d5073d39d225d89","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nigrescens"
"f4af4b990e01c498d2c9f9207c3b9d43","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nigrescens"
"6323f3495795ecbf0ea4c5cd042340e9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nigrescens"
"7d5fda87ebb4c54e4a4814a00729eb75","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"bc9f7769fb1f70e0ea0f68fbef1dc759","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"1570b2c9c6f157dd8ee3aca03f8ecbc0","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"69b14564c75c00ca4246ba6119112e42","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"d2e384899f80cca5ef1896eab0c862ee","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"6c91b03edc155703d03eca97c5a2597b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri"
"e081656cfad775f6728d84d45c0218c6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"bfcf5c937b3912826bf9b01162f2afd1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"43b3c4e8558e2d02b6497cf94f77a12f","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"4fc164cd4601378f2f14bbcec19b6d9d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"1bcc73834473f6bb3769089263ff25a7","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"940847d4d2b478cdd21f9b94a95d9021","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"1253bd7e004b4086384f3c5ca3f215d1","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"00f134e12a6ca21c3087b8d60a0b19e5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"a382c77e39629b0c8486cfe3bc0333b0","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"833169406169cf4c270374bf10987bff","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"8cc6e4a5288e3e7983b218dbda520fd3","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"1dc8ac04208cd2758d5dfaab0159208a","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"d268552f584aa6a89bc7fecd7ad641c4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"becea996974311b4673244335e8f1e55","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"5ca9dc20985d09b6f9bd3474b585ccd5","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"c0d81289db24c1a5c128838bc58bc64d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","melaninogenica"
"135d368c9356988e60060647b9b4feea","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"d5222dcea431fc8382c3dbbf0365489e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"952237b51f07881d87ccee7f7e33e635","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"c5d7c76dfe4ed503eea307d7192c960b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"1290b332b0fe8eeef5af74333899db97","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"53ea724eca825cc02252cef3e37d6571","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"802613cb9c8afd9128e5e8b578f5e05d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"f14b487bd983ad660f1b52b9e5db5b60","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"d0c87f3f70c422cd2dc727e91ba9b3bb","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"e91930bbb3d30a5a05d91c1301e8b53e","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"1955c36a7141e56a3aa35473713ccf29","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"03bac6c732a2f0b7cff3c4dc29120ec4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"16e4276be08033b6e9bfbd54c817b78a","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"c9caf1e1a5070a2c617196c2a529a8ae","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"fea8cf3b063370a298f04846d3f92f0b","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"b8379a9b5d0a77c571e5fb5021b0a23c","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"698b180759b0392b3bcec6cc0fd0c631","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"9ec9d63f3db8acc875f7665cf063f3b6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"6e9dec4d12ebbd912ab8a1160752cfe6","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA
"a507c24cc108b2a85bf867557c9e987d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"15041c09c6157bfeb4d763b27478cd37","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"bc12eecea9c430d3e02fdfc7adbc9670","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"0c99229a8f33824b36d3eccba286cebe","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"2930ce0c8c0e71ee4a0f161a4d5fc6b4","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","[Prevotella]",NA
"df1ce85ab323b711ebe3aaee27b258ae","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"e9eac97c7ff46c8eb998c4a8f2c60ab9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA
"837db9efa7c388ac65d7c49853d8335d","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"6ea8094823e61d135f28a6c74f5fc52c","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"9677010f7d64a2907fe7088970a9e268","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA
"dc75096c47c90b9b802cab1bf9c89966","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"7b46a3d2ffd5941d13ba4132509059fa","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"2035115499eb05f12ec469facac4885c","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
"8d30208c8902d49b0064bef074d486f9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"311a8daa271f224f9bcebda698803bce","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"8622987ddfa6f1a7d9909f49018cb1f1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"38576d73b4d4cc401ed1f5a4ec1eaca2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"f7f14c67a1c50840a8ef794692062cb6","Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA
